Well,X,Y,NTG
201-901,201,901,
201-902,201,902,
201-903,201,903,
201-904,201,904,
201-905,201,905,
201-906,201,906,
201-908,201,908,0.2117221680240905
201-909,201,909,0.23307274909668263
201-910,201,910,0.2613969078279553
201-911,201,911,0.29293512237588387
201-912,201,912,0.32392787089844544
201-913,201,913,0.35061563155361714
201-915,201,915,0.3878622421590058
201-916,201,916,0.40445030187673175
201-917,201,917,0.41938512957489604
201-918,201,918,0.4320669460444147
201-919,201,919,0.44189597207620385
201-920,201,920,0.4482724284611792
201-921,201,921,0.45059653599025734
201-922,201,922,0.44826851545435387
201-923,201,923,0.44068858764438634
201-925,201,925,
201-926,201,926,
201-927,201,927,
201-928,201,928,
201-929,201,929,
201-930,201,930,
202-901,202,901,
202-902,202,902,
202-903,202,903,
202-904,202,904,
202-905,202,905,0.23164667735473515
202-906,202,906,0.2409419375702694
202-907,202,907,0.2176346718992998
202-908,202,908,0.23161642814554972
202-909,202,909,0.24513831309963327
202-910,202,910,0.26715253881708323
202-911,202,911,0.2929194006047172
202-912,202,912,0.31795922832448986
202-913,202,913,0.33574983519863805
202-914,202,914,0.34499256609916007
202-915,202,915,0.3581786151441885
202-916,202,916,0.37640940814728885
202-917,202,917,0.3930426259071166
202-918,202,918,0.40688553279648265
202-919,202,919,0.41758590454936456
202-920,202,920,0.42479151689973993
202-921,202,921,0.4281501455815865
202-923,202,923,0.4222643564848886
202-924,202,924,0.40698545651529067
202-926,202,926,
202-927,202,927,
202-928,202,928,
202-929,202,929,
202-930,202,930,
203-901,203,901,
203-903,203,903,0.25628324395480157
203-904,203,904,0.26001547380843537
203-905,203,905,0.260708869465916
203-907,203,907,0.2130175322137224
203-908,203,908,0.2399927134375588
203-909,203,909,0.26126328680365474
203-910,203,910,0.2766182675721981
203-911,203,911,0.29784343837475
203-912,203,912,0.3153496783197848
203-913,203,913,0.3192528766267047
203-914,203,914,0.3268805382603132
203-915,203,915,0.33067477585442023
203-916,203,916,0.3424488851987554
203-917,203,917,0.3569075575461746
203-918,203,918,0.3708694493175394
203-919,203,919,0.38466019298445325
203-920,203,920,0.40016189597121715
203-921,203,921,0.4034873903527698
203-922,203,922,0.4012038753203304
203-923,203,923,0.420276425637494
203-924,203,924,0.42030595039926655
203-925,203,925,0.39548094340506046
203-926,203,926,0.37346285335182083
203-927,203,927,0.35832918493811855
203-928,203,928,0.3451512468634535
203-930,203,930,
204-901,204,901,
204-902,204,902,0.2611527478890689
204-903,204,903,0.22867939918631083
204-905,204,905,0.20289705927859467
204-906,204,906,0.19764185266559242
204-908,204,908,0.22281805932599838
204-909,204,909,0.2635930833212456
204-910,204,910,0.2883073530799661
204-911,204,911,0.3036992933429244
204-912,204,912,0.31112501649485935
204-913,204,913,0.308213555752248
204-914,204,914,0.317082140538084
204-915,204,915,0.31861127206831136
204-916,204,916,0.32624644579416867
204-917,204,917,0.33904006794868996
204-918,204,918,0.3563117056647017
204-919,204,919,0.37842656721926526
204-920,204,920,0.3904338690450376
204-921,204,921,0.3712617977749434
204-922,204,922,0.3631183399323081
204-923,204,923,0.3874454158791533
204-924,204,924,0.4097817908458715
204-926,204,926,0.3753386089976408
204-927,204,927,0.3491864147032318
204-928,204,928,0.3159211794054794
204-929,204,929,
204-930,204,930,
205-901,205,901,
205-902,205,902,0.25753146202586974
205-903,205,903,0.241699849038695
205-904,205,904,0.18681987292593186
205-905,205,905,0.17703162390361651
205-906,205,906,0.18051482143778086
205-907,205,907,0.19224344726680662
205-908,205,908,0.22950102147715806
205-909,205,909,0.25843280723271533
205-910,205,910,0.2928681863820428
205-912,205,912,0.3091173560164106
205-913,205,913,0.3072156656423452
205-914,205,914,0.3175144250469166
205-915,205,915,0.32492790801759625
205-917,205,917,0.3460947601854954
205-918,205,918,0.3620669343068902
205-919,205,919,0.3740813381014065
205-920,205,920,0.36183120355348514
205-921,205,921,0.34076471774868283
205-922,205,922,0.3375672295814856
205-924,205,924,0.37929281649341523
205-925,205,925,0.3744519066518495
205-926,205,926,0.35830301245288637
205-928,205,928,0.286613116007729
205-929,205,929,
205-930,205,930,
206-901,206,901,
206-902,206,902,0.25273933165179213
206-903,206,903,0.2769577248061449
206-904,206,904,0.1885520539316257
206-905,206,905,0.16267968612775927
206-906,206,906,0.16791979827144787
206-907,206,907,0.1952869116963808
206-908,206,908,0.2517152048218393
206-909,206,909,0.2935576506497176
206-910,206,910,0.312979345542983
206-911,206,911,0.30675268711992776
206-913,206,913,0.313418802734791
206-915,206,915,0.35260115452297563
206-916,206,916,0.35251383448238344
206-917,206,917,0.3513096516840802
206-918,206,918,0.35436695463573104
206-919,206,919,0.3469336845920114
206-920,206,920,0.3226901208430894
206-921,206,921,0.30395416602100556
206-922,206,922,0.3337518193469857
206-923,206,923,0.33622716490637117
206-924,206,924,0.34823130776786104
206-925,206,925,0.340934854362254
206-926,206,926,0.32108546930604726
206-927,206,927,0.29321429359858076
206-928,206,928,0.26826380589861915
206-930,206,930,
