Well,X,Y,NTG
201-901,201,901,0.30269999999999997
201-902,201,902,0.28529
201-903,201,903,0.29717
201-904,201,904,0.23525999999999997
201-905,201,905,0.22849
201-906,201,906,0.2327
201-908,201,908,0.22898000000000002
201-909,201,909,0.27198
201-910,201,910,0.26788
201-911,201,911,0.3475499999999999
201-912,201,912,0.35304
201-913,201,913,0.36847
201-915,201,915,0.37521000000000004
201-916,201,916,0.38226
201-917,201,917,0.38544
201-918,201,918,0.38544
201-919,201,919,0.4081099999999999
201-920,201,920,0.4081099999999999
201-921,201,921,0.4081099999999999
201-922,201,922,0.41475999999999996
201-923,201,923,0.41475999999999996
201-925,201,925,0.40044
201-926,201,926,0.40044
201-927,201,927,0.40044
201-928,201,928,0.39035000000000003
201-929,201,929,0.39035000000000003
201-930,201,930,0.39035000000000003
202-901,202,901,0.30269999999999997
202-902,202,902,0.28529
202-903,202,903,0.29717
202-904,202,904,0.23525999999999997
202-905,202,905,0.22849
202-906,202,906,0.2327
202-907,202,907,0.20988
202-908,202,908,0.22898000000000002
202-909,202,909,0.27198
202-910,202,910,0.26788
202-911,202,911,0.36084999999999995
202-912,202,912,0.36634
202-913,202,913,0.38177000000000005
202-914,202,914,0.38504
202-915,202,915,0.38851
202-916,202,916,0.39556
202-917,202,917,0.39874
202-918,202,918,0.39874
202-919,202,919,0.42049000000000003
202-920,202,920,0.42049000000000003
202-921,202,921,0.42049000000000003
202-923,202,923,0.42713999999999996
202-924,202,924,0.41734
202-926,202,926,0.4110600000000001
202-927,202,927,0.4110600000000001
202-928,202,928,0.39699999999999996
202-929,202,929,0.39699999999999996
202-930,202,930,0.39699999999999996
203-901,203,901,0.30269999999999997
203-903,203,903,0.29717
203-904,203,904,0.23611999999999997
203-905,203,905,0.22935
203-907,203,907,0.21042
203-908,203,908,0.22984
203-909,203,909,0.27283999999999997
203-910,203,910,0.26874000000000003
203-911,203,911,0.33836
203-912,203,912,0.34385000000000004
203-913,203,913,0.35532
203-914,203,914,0.36066000000000004
203-915,203,915,0.36413
203-916,203,916,0.37158
203-917,203,917,0.37476000000000004
203-918,203,918,0.37413
203-919,203,919,0.37973
203-920,203,920,0.38299000000000005
203-921,203,921,0.38963000000000003
203-922,203,922,0.39628
203-923,203,923,0.39628
203-924,203,924,0.38916
203-925,203,925,0.38139
203-926,203,926,0.38276
203-927,203,927,0.38318
203-928,203,928,0.36912
203-930,203,930,0.36796
204-901,204,901,0.29734
204-902,204,902,0.27457
204-903,204,903,0.28645
204-905,204,905,0.22181
204-906,204,906,0.22435999999999998
204-908,204,908,0.22064
204-909,204,909,0.27283999999999997
204-910,204,910,0.26874000000000003
204-911,204,911,0.33273
204-912,204,912,0.33252000000000004
204-913,204,913,0.34398999999999996
204-914,204,914,0.34743999999999997
204-915,204,915,0.35305
204-916,204,916,0.36446
204-917,204,917,0.36611000000000005
204-918,204,918,0.36485
204-919,204,919,0.36811
204-920,204,920,0.37137000000000003
204-921,204,921,0.37801
204-922,204,922,0.38885000000000003
204-923,204,923,0.38885000000000003
204-924,204,924,0.38518
204-926,204,926,0.38130000000000003
204-927,204,927,0.38172
204-928,204,928,0.36804000000000003
204-929,204,929,0.36688
204-930,204,930,0.36688
205-901,205,901,0.29734
205-902,205,902,0.27457
205-903,205,903,0.28645
205-904,205,904,0.2254
205-905,205,905,0.22181
205-906,205,906,0.22435999999999998
205-907,205,907,0.19904
205-908,205,908,0.21845999999999996
205-909,205,909,0.27175
205-910,205,910,0.26765
205-912,205,912,0.30782000000000004
205-913,205,913,0.31928999999999996
205-914,205,914,0.33365
205-915,205,915,0.33926
205-917,205,917,0.33682999999999996
205-918,205,918,0.32791
205-919,205,919,0.33117
205-920,205,920,0.33605999999999997
205-921,205,921,0.34496000000000004
205-922,205,922,0.3457
205-924,205,924,0.3457
205-925,205,925,0.34995000000000004
205-926,205,926,0.35406
205-928,205,928,0.35448
205-929,205,929,0.3356
205-930,205,930,0.34598999999999996
206-901,206,901,0.29734
206-902,206,902,0.27457
206-903,206,903,0.28645
206-904,206,904,0.2254
206-905,206,905,0.22104
206-906,206,906,0.22281999999999996
206-907,206,907,0.19519
206-908,206,908,0.22136999999999998
206-909,206,909,0.2762
206-910,206,910,0.28040000000000004
206-911,206,911,0.30582
206-913,206,913,0.31701
206-915,206,915,0.34548999999999996
206-916,206,916,0.34646
206-917,206,917,0.34243
206-918,206,918,0.32155
206-919,206,919,0.32294999999999996
206-920,206,920,0.32294999999999996
206-921,206,921,0.33185
206-922,206,922,0.33259
206-923,206,923,0.33525
206-924,206,924,0.33525
206-925,206,925,0.33345
206-926,206,926,0.33482
206-927,206,927,0.32920000000000005
206-928,206,928,0.32374
206-930,206,930,0.30517
207-901,207,901,0.29734
207-902,207,902,0.27457
207-903,207,903,0.28645
207-904,207,904,0.2254
207-905,207,905,0.22104
207-906,207,906,0.22281999999999996
207-908,207,908,0.22136999999999998
207-909,207,909,0.2762
207-911,207,911,0.28774
