Well,X,Y,NTG
201-901,201,901,0.25894919381788173
201-902,201,902,0.2518897092586898
201-903,201,903,0.2523734640781774
201-904,201,904,0.23930796451173963
201-905,201,905,0.24111161805980458
201-906,201,906,0.22865663580776435
201-908,201,908,0.22446461561341877
201-909,201,909,0.26442008545109247
201-910,201,910,0.3003754380267698
201-911,201,911,0.3214369827197464
201-912,201,912,0.3298547911977539
201-913,201,913,0.3455030060279129
201-915,201,915,0.37480791604992836
201-916,201,916,0.36863756820911364
201-917,201,917,0.37229622327961565
201-918,201,918,0.3782620523549882
201-919,201,919,0.38700445486675167
201-920,201,920,0.4025151810808366
201-921,201,921,0.40822975613268236
201-922,201,922,0.4249274390659886
201-923,201,923,0.4273322541033861
201-925,201,925,0.4202813950056139
201-926,201,926,0.4129083223942911
201-927,201,927,0.40070189809505413
201-928,201,928,0.3861750360863137
201-929,201,929,0.36333837932956314
201-930,201,930,0.3490004601192013
202-901,202,901,0.26032756023708803
202-902,202,902,0.2531736689516063
202-903,202,903,0.2535856885577298
202-904,202,904,0.24044866001631215
202-905,202,905,0.24241358732505408
202-906,202,906,0.23040911772778824
202-907,202,907,0.21062275599949037
202-908,202,908,0.22653061212323033
202-909,202,909,0.26556169448955186
202-910,202,910,0.3006577293704899
202-911,202,911,0.32153659528345785
202-912,202,912,0.3289849848370442
202-913,202,913,0.34463319966720324
202-914,202,914,0.36162606712077755
202-915,202,915,0.3735989551779605
202-916,202,916,0.36742860733714583
202-917,202,917,0.3707327500569862
202-918,202,918,0.3763929214561792
202-919,202,919,0.38495954405900507
202-920,202,920,0.40125768169065723
202-921,202,921,0.40547189986711596
202-923,202,923,0.4247244143106558
202-924,202,924,0.4257061815413669
202-926,202,926,0.40993409659876867
202-927,202,927,0.398073205340306
202-928,202,928,0.3838712378354645
202-929,202,929,0.361034581078714
202-930,202,930,0.3466537544397706
203-901,203,901,0.26207364541505923
203-903,203,903,0.2546710237454125
203-904,203,904,0.2422399885012006
203-905,203,905,0.24655603217860445
203-907,203,907,0.2163416965826112
203-908,203,908,0.23091128727538282
203-909,203,909,0.2682216263135517
203-910,203,910,0.30287726061292586
203-911,203,911,0.32380306793727487
203-912,203,912,0.32893276821035417
203-913,203,913,0.34418047637625826
203-914,203,914,0.3600368685398046
203-915,203,915,0.372160526199333
203-916,203,916,0.36543254119821483
203-917,203,917,0.36836646401441764
203-918,203,918,0.37036996666590716
203-919,203,919,0.3766356204599304
203-920,203,920,0.3933809301739043
203-921,203,921,0.39552040076396205
203-922,203,922,0.41103264409854706
203-923,203,923,0.4130697061598114
203-924,203,924,0.41467017737360234
203-925,203,925,0.4084604036871892
203-926,203,926,0.4014731405783379
203-927,203,927,0.39039401385487915
203-928,203,928,0.37436555756657736
203-930,203,930,0.3355218255451504
204-901,204,901,0.24274122103017157
204-902,204,902,0.23461373369947278
204-903,204,903,0.23635626719002223
204-905,204,905,0.22331411663851458
204-906,204,906,0.21371975104014004
204-908,204,908,0.21338630069261397
204-909,204,909,0.2537296176912579
204-910,204,910,0.28997752065191906
204-911,204,911,0.3052684746708611
204-912,204,912,0.310584252583606
204-913,204,913,0.3253230100943238
204-914,204,914,0.34123220947131205
204-915,204,915,0.35584192413929017
204-916,204,916,0.346067181005096
204-917,204,917,0.348909134999779
204-918,204,918,0.35109410783280903
204-919,204,919,0.35572685232314105
204-920,204,920,0.3735152582064813
204-921,204,921,0.3730014953456118
204-922,204,922,0.38859931033651907
204-923,204,923,0.3919577881197936
204-924,204,924,0.3951965583088164
204-926,204,926,0.3905515691604917
204-927,204,927,0.37917615954849615
204-928,204,928,0.36265623631373967
204-929,204,929,0.3385416867721372
204-930,204,930,0.3225718730686322
205-901,205,901,0.25955979998176343
205-902,205,902,0.24666258548486586
205-903,205,903,0.2628501224756448
205-904,205,904,0.24716614768503664
205-905,205,905,0.2228378458680854
205-906,205,906,0.20928716090386099
205-907,205,907,0.19525632676900892
205-908,205,908,0.21505873940900844
205-909,205,909,0.25755912353592425
205-910,205,910,0.29211105396940373
205-912,205,912,0.30327415353867543
205-913,205,913,0.31785053042954947
205-914,205,914,0.33395157786250773
205-915,205,915,0.3492291714290037
205-917,205,917,0.3339583521817289
205-918,205,918,0.3331198927186188
205-919,205,919,0.33101208579216307
205-920,205,920,0.3483294151799625
205-921,205,921,0.3423434756543488
205-922,205,922,0.353657966549183
205-924,205,924,0.3573916305641458
205-925,205,925,0.35906639694798914
205-926,205,926,0.353509182678061
205-928,205,928,0.32831046359054045
205-929,205,929,0.30667460360354176
205-930,205,930,0.2907047899000368
206-901,206,901,0.26696469641303444
206-902,206,902,0.25298061714770925
206-903,206,903,0.2751691227896066
206-904,206,904,0.2599090767843202
206-905,206,905,0.22681874162066384
206-906,206,906,0.2115081067424342
206-907,206,907,0.19794952495923962
206-908,206,908,0.21765513355591537
206-909,206,909,0.2608474920415351
206-910,206,910,0.294788368700654
206-911,206,911,0.29662087924124725
206-913,206,913,0.3119099550799312
206-915,206,915,0.34891969683244334
206-916,206,916,0.3331839907495098
206-917,206,917,0.3310992655332105
206-918,206,918,0.3278741057661953
206-919,206,919,0.31600623667142475
206-920,206,920,0.33353181723578484
206-921,206,921,0.32000641987360556
206-922,206,922,0.32850193107390474
206-923,206,923,0.32892415616298637
206-924,206,924,0.32728179693297704
206-925,206,925,0.32647176008219053
206-926,206,926,0.3208216923437734
206-927,206,927,0.3114327464584161
206-928,206,928,0.299299377395094
206-930,206,930,0.26248227252114753
207-901,207,901,0.2697266093040064
207-902,207,902,0.2555663151545656
207-903,207,903,0.27859915783903433
207-904,207,904,0.26333911183374775
207-905,207,905,0.22904965336088373
207-906,207,906,0.2130509456573999
207-908,207,908,0.21938084107342462
207-909,207,909,0.2629722445597372
207-911,207,911,0.2984421797078689
207-913,207,913,0.3139190727258847
207-914,207,914,0.33107328520111007
207-915,207,915,0.35181844332718243
207-916,207,916,0.33610649580606716
207-917,207,917,0.3335336115459345
207-918,207,918,0.3283719806553057
207-920,207,920,0.3296519573472778
207-921,207,921,0.31563493376299
207-922,207,922,0.3225996526933155
207-923,207,923,0.3230218777823971
207-924,207,924,0.3213795185523878
207-925,207,925,0.32149532142852894
207-926,207,926,0.31576541185283397
207-928,207,928,0.29508575442174334
207-929,207,929,0.27433614815805885
208-901,208,901,0.27991887575727614
208-902,208,902,0.26661846133316913
208-903,208,903,0.29151550290375544
208-904,208,904,0.27886247667690084
208-905,208,905,0.24325876349209868
208-906,208,906,0.2262866908493496
208-907,208,907,0.2138520294779589
208-908,208,908,0.23163414226439993
208-909,208,909,0.2712387441423896
208-910,208,910,0.30327339466326414
208-911,208,911,0.31185497651932687
208-912,208,912,0.3192948636417674
208-913,208,913,0.3352927189692277
208-914,208,914,0.3528878853166291
208-916,208,916,0.3545797697807959
208-917,208,917,0.34548098405920996
208-918,208,918,0.33500206420904355
208-920,208,920,0.3281080583122123
208-921,208,921,0.3123215114185625
208-922,208,922,0.317997297839466
208-923,208,923,0.31973045201177314
208-924,208,924,0.31915351749274085
208-926,208,926,0.31458708322358264
208-927,208,927,0.309563948114343
208-928,208,928,0.3005402618889258
208-929,208,929,0.2813115373043646
208-930,208,930,0.2654955477199899
209-901,209,901,0.2968622072891605
209-902,209,902,0.2835617928650535
209-903,209,903,0.3117186633922111
209-904,209,904,0.30067689555406957
209-905,209,905,0.2598716113738362
209-906,209,906,0.2442889075449258
209-907,209,907,0.23319985680878758
209-908,209,908,0.24616732639747466
209-909,209,909,0.28374630545005713
209-910,209,910,0.3153203991544844
209-911,209,911,0.3291690702254666
209-912,209,912,0.3417508159486619
209-913,209,913,0.3575258481198139
209-914,209,914,0.37526165675396
209-915,209,915,0.39423526395195085
209-917,209,917,0.37248073067223314
209-918,209,918,0.36277090623424824
209-919,209,919,0.3426730438256572
209-920,209,920,0.35735775242577994
209-921,209,921,0.3258797297277883
209-922,209,922,0.33232346512997396
209-923,209,923,0.33769886202289817
209-924,209,924,0.33608978016491203
209-925,209,925,0.3379383476568629
209-926,209,926,0.3324160173939582
209-927,209,927,0.32950149842270715
209-928,209,928,0.32353716495078405
209-929,209,929,0.3050529159655227
209-930,209,930,0.28834893412693774
210-901,210,901,0.3063207758800595
210-902,210,902,0.2927845951051171
210-903,210,903,0.32460085854182563
210-904,210,904,0.3156776886233559
210-905,210,905,0.2644881666291765
