,Well,X,Y,NTG
0,201-901,201,901,0.2788275227671452
1,201-902,201,902,0.25442645610047837
2,201-903,201,903,0.26387466746411475
3,201-904,201,904,0.24785639978310312
4,201-905,201,905,0.24967661563946902
5,201-906,201,906,0.24771360502527703
6,201-908,201,908,0.2584847513734911
7,201-909,201,909,0.27757404529382657
8,201-910,201,910,0.29849076509183
9,201-911,201,911,0.309044193020192
10,201-912,201,912,0.31530893639058083
11,201-913,201,913,0.33556644158538596
12,201-915,201,915,0.3547733408089313
13,201-916,201,916,0.3594573314570087
14,201-917,201,917,0.3628614804458724
15,201-918,201,918,0.37166822434086627
16,201-919,201,919,0.3794771682583014
17,201-920,201,920,0.3851698654192799
18,201-921,201,921,0.3859713850773996
19,201-922,201,922,0.39351448356224805
20,201-923,201,923,0.3952323110514255
21,201-925,201,925,0.39254752596370635
22,201-926,201,926,0.3820926714837408
23,201-927,201,927,0.37747030742529836
24,201-928,201,928,0.3741811852030761
25,201-929,201,929,0.36395837282958593
26,201-930,201,930,0.3580453147015072
27,202-901,202,901,0.28192216562428796
28,202-902,202,902,0.25752109895762115
29,202-903,202,903,0.2669693103212576
30,202-904,202,904,0.25132770930691256
31,202-905,202,905,0.25377206802042135
32,202-906,202,906,0.2507491120280781
33,202-907,202,907,0.24012098357185693
34,202-908,202,908,0.26169050837629215
35,202-909,202,909,0.28013196896329423
36,202-910,202,910,0.3013777595547314
37,202-911,202,911,0.31031318748309333
38,202-912,202,912,0.3160956451391965
39,202-913,202,913,0.33502967414352547
40,202-914,202,914,0.3488753073880588
41,202-915,202,915,0.3549940733670709
42,202-916,202,916,0.35936006401514825
43,202-917,202,917,0.362914713004012
44,202-918,202,918,0.3699098068990058
45,202-919,202,919,0.37714525081644096
46,202-920,202,920,0.38283794797741955
47,202-921,202,921,0.38374766364882823
48,202-923,202,923,0.38937116105142566
49,202-924,202,924,0.38870079263037316
50,202-926,202,926,0.3754875929123125
51,202-927,202,927,0.37086522885386997
52,202-928,202,928,0.3685387566316478
53,202-929,202,929,0.35933487282958615
54,202-930,202,930,0.35342181470150746
55,203-901,203,901,0.28637102673539905
56,203-903,203,903,0.27085088872560176
57,203-904,203,904,0.25609755854459
58,203-905,203,905,0.2605229941811757
59,203-907,203,907,0.24687190973261128
60,203-908,203,908,0.26478344131360326
61,203-909,203,909,0.2752415919006054
62,203-910,203,910,0.29483688174879924
63,203-911,203,911,0.3045157235965752
64,203-912,203,912,0.3102981812526784
65,203-913,203,913,0.3262749602570073
66,203-914,203,914,0.3383238990570961
67,203-915,203,915,0.3438736650361081
68,203-916,203,916,0.3452197137138752
69,203-917,203,917,0.34816802936940566
70,203-918,203,918,0.35204894361071987
71,203-919,203,919,0.35286097821442963
72,203-920,203,920,0.3567113420420749
73,203-921,203,921,0.35729747438015025
74,203-922,203,922,0.36294127762690354
75,203-923,203,923,0.3644451834494143
76,203-924,203,924,0.3656156483616952
77,203-925,203,925,0.36526852653988956
78,203-926,203,926,0.35629615030316714
79,203-927,203,927,0.35235165803959645
80,203-928,203,928,0.35031907062129575
81,203-930,203,930,0.3352021286911554
82,204-901,204,901,0.28206401483063703
83,204-902,204,902,0.2565306654572034
84,204-903,204,903,0.2645915109671812
85,204-905,204,905,0.25477055586374897
86,204-906,204,906,0.2538665998714057
