,Well,X,Y,NTG
0,201-901,201,901,0.24116365635172998
1,201-902,201,902,0.24116365635172998
2,201-903,201,903,0.276287796237227
3,201-904,201,904,0.24592201670449318
4,201-905,201,905,0.2182477532631936
5,201-906,201,906,0.22426603140956966
6,201-908,201,908,0.19781270671195408
7,201-909,201,909,0.23517769483204345
8,201-910,201,910,0.2597874169012115
9,201-911,201,911,0.3533506665178691
10,201-912,201,912,0.3533506665178691
11,201-913,201,913,0.36422478766672267
12,201-915,201,915,0.3787692676281236
13,201-916,201,916,0.37513253828582915
14,201-917,201,917,0.37763145825840105
15,201-918,201,918,0.3756555719743422
16,201-919,201,919,0.4069537816633791
17,201-920,201,920,0.4212620150067259
18,201-921,201,921,0.4261365566119936
19,201-922,201,922,0.4261365566119936
20,201-923,201,923,0.42028658827947446
21,201-925,201,925,0.4106343214331851
22,201-926,201,926,0.4106343214331851
23,201-927,201,927,0.4106343214331851
24,201-928,201,928,0.39659712034807443
25,201-929,201,929,0.3723998839928219
26,201-930,201,930,0.37197465362278154
27,202-901,202,901,0.24116365635172998
28,202-902,202,902,0.24116365635172998
29,202-903,202,903,0.276287796237227
30,202-904,202,904,0.24592201670449318
31,202-905,202,905,0.2182477532631936
32,202-906,202,906,0.22426603140956966
33,202-907,202,907,0.20750542273777306
34,202-908,202,908,0.19781270671195408
35,202-909,202,909,0.23517769483204345
36,202-910,202,910,0.2597874169012115
37,202-911,202,911,0.3533506665178691
38,202-912,202,912,0.3533506665178691
39,202-913,202,913,0.36422478766672267
40,202-914,202,914,0.3685310497410374
41,202-915,202,915,0.3787692676281236
42,202-916,202,916,0.37513253828582915
43,202-917,202,917,0.37763145825840105
44,202-918,202,918,0.3756555719743422
45,202-919,202,919,0.4030272250177637
46,202-920,202,920,0.4173354583611105
47,202-921,202,921,0.42220999996637826
48,202-923,202,923,0.4163600316338591
49,202-924,202,924,0.4163600316338591
50,202-926,202,926,0.40670776478756976
51,202-927,202,927,0.40670776478756976
52,202-928,202,928,0.39267056370245906
53,202-929,202,929,0.36847332734720656
54,202-930,202,930,0.3680480969771662
55,203-901,203,901,0.2521520544230105
56,203-903,203,903,0.2872761943085073
57,203-904,203,904,0.25691041477577375
58,203-905,203,905,0.2292361513344741
59,203-907,203,907,0.2184938208090535
60,203-908,203,908,0.20880110478323458
61,203-909,203,909,0.24616609290332378
62,203-910,203,910,0.27077581497249187
63,203-911,203,911,0.35414179036456966
64,203-912,203,912,0.35414179036456966
65,203-913,203,913,0.36730574621528406
66,203-914,203,914,0.3716120082895988
67,203-915,203,915,0.38185022617668496
68,203-916,203,916,0.37821349683439054
69,203-917,203,917,0.38071241680696244
70,203-918,203,918,0.37873653052290357
71,203-919,203,919,0.384112296416505
72,203-920,203,920,0.3984205297598518
73,203-921,203,921,0.3961304868892176
74,203-922,203,922,0.3961304868892176
75,203-923,203,923,0.3968486585940939
76,203-924,203,924,0.3968486585940939
77,203-925,203,925,0.3931623917478046
78,203-926,203,926,0.3931623917478046
79,203-927,203,927,0.3931623917478046
80,203-928,203,928,0.37912519066269385
81,203-930,203,930,0.35126333404245375
82,204-901,204,901,0.21705356167212345
83,204-902,204,902,0.21705356167212345
84,204-903,204,903,0.25217770155762037
85,204-905,204,905,0.2044621735708221
86,204-906,204,906,0.21048045171719812
87,204-908,204,908,0.1915203106109735
88,204-909,204,909,0.2460035806343562
89,204-910,204,910,0.2706133027035243
90,204-911,204,911,0.3539792780956021
91,204-912,204,912,0.3539792780956021
92,204-913,204,913,0.3671432339463165
93,204-914,204,914,0.3714494960206312
94,204-915,204,915,0.3816877139077174
95,204-916,204,916,0.37805098456542297
96,204-917,204,917,0.38054990453799487
97,204-918,204,918,0.378574018253936
98,204-919,204,919,0.37960835655236375
99,204-920,204,920,0.39391658989571054
100,204-921,204,921,0.3916265470250763
101,204-922,204,922,0.3916265470250763
102,204-923,204,923,0.39234471872995264
103,204-924,204,924,0.39234471872995264
104,204-926,204,926,0.3886584518836633
105,204-927,204,927,0.3886584518836633
106,204-928,204,928,0.37918756789643243
107,204-929,204,929,0.3517509416462326
108,204-930,204,930,0.3513257112761922
109,205-901,205,901,0.21773557112285793
110,205-902,205,902,0.21773557112285793
111,205-903,205,903,0.25285971100835497
112,205-904,205,904,0.22408312466977762
113,205-905,205,905,0.20673337621571308
114,205-906,205,906,0.2127516543620891
115,205-907,205,907,0.20348422928168336
116,205-908,205,908,0.19379151325586447
117,205-909,205,909,0.23283633113101876
118,205-910,205,910,0.257446053200187
119,205-912,205,912,0.3136192786938296
120,205-913,205,913,0.326783234544544
121,205-914,205,914,0.3310894966188588
122,205-915,205,915,0.3413277145059449
123,205-917,205,917,0.34018990513622244
124,205-918,205,918,0.33821401885216357
125,205-919,205,919,0.3336171670630008
126,205-920,205,920,0.3479254004063476
127,205-921,205,921,0.3443423948638092
128,205-922,205,922,0.3443423948638092
129,205-924,205,924,0.3450605665686855
130,205-925,205,925,0.3413742997223962
131,205-926,205,926,0.3413742997223962
132,205-928,205,928,0.3355235057172336
133,205-929,205,929,0.3020324834911459
134,205-930,205,930,0.30160725312110553
135,206-901,206,901,0.21773557112285793
136,206-902,206,902,0.21773557112285793
137,206-903,206,903,0.25285971100835497
138,206-904,206,904,0.22408312466977762
139,206-905,206,905,0.20673337621571308
140,206-906,206,906,0.22896893959363152
141,206-907,206,907,0.21970151451322567
142,206-908,206,908,0.21000879848740678
143,206-909,206,909,0.244052637020584
144,206-910,206,910,0.26866235908975217
145,206-911,206,911,0.3086182993518524
146,206-913,206,913,0.3217822552025668
147,206-915,206,915,0.33077029335099634
148,206-916,206,916,0.3271335640087019
149,206-917,206,917,0.32963248398127387
150,206-918,206,918,0.327656597697215
151,206-919,206,919,0.3135854431233574
152,206-920,206,920,0.3278936764667042
153,206-921,206,921,0.3148390692214539
154,206-922,206,922,0.3148390692214539
155,206-923,206,923,0.31555724092633025
156,206-924,206,924,0.31555724092633025
157,206-925,206,925,0.3092129237114355
158,206-926,206,926,0.3092129237114355
159,206-927,206,927,0.3092129237114355
160,206-928,206,928,0.30336212970627296
161,206-930,206,930,0.2761901924280178
162,207-901,207,901,0.21773557112285793
163,207-902,207,902,0.21773557112285793
164,207-903,207,903,0.25285971100835497
165,207-904,207,904,0.22408312466977762
166,207-905,207,905,0.20673337621571308
167,207-906,207,906,0.22896893959363152
168,207-908,207,908,0.21000879848740678
169,207-909,207,909,0.244052637020584
170,207-911,207,911,0.3086182993518524
171,207-913,207,913,0.3217822552025668
172,207-914,207,914,0.3205320754639102
173,207-915,207,915,0.33077029335099634
174,207-916,207,916,0.3271335640087019
175,207-917,207,917,0.32963248398127387
176,207-918,207,918,0.327656597697215
177,207-920,207,920,0.3278936764667042
178,207-921,207,921,0.3148390692214539
179,207-922,207,922,0.3148390692214539
180,207-923,207,923,0.31555724092633025
181,207-924,207,924,0.31555724092633025
182,207-925,207,925,0.3092129237114355
183,207-926,207,926,0.3092129237114355
184,207-928,207,928,0.30215100421389457
185,207-929,207,929,0.2754042973056798
186,208-901,208,901,0.2596888045692192
187,208-902,208,902,0.2596888045692192
188,208-903,208,903,0.294812944454716
189,208-904,208,904,0.26603635811613885
190,208-905,208,905,0.24868660966207437
191,208-906,208,906,0.27092217303999283
192,208-907,208,907,0.27079732831722164
193,208-908,208,908,0.26110461229140264
194,208-909,208,909,0.2751324329851859
195,208-910,208,910,0.299742155054354
196,208-911,208,911,0.33969809531645423
197,208-912,208,912,0.33969809531645423
198,208-913,208,913,0.3528620511671686
199,208-914,208,914,0.35273959019749324
200,208-916,208,916,0.35934107874228494
201,208-917,208,917,0.3618399987148569
202,208-918,208,918,0.35094889568158255
203,208-920,208,920,0.3433845334422565
204,208-921,208,921,0.32765537748255574
205,208-922,208,922,0.32765537748255574
206,208-923,208,923,0.3317627367814523
207,208-924,208,924,0.3317627367814523
208,208-926,208,926,0.32541841956655754
209,208-927,208,927,0.32541841956655754
210,208-928,208,928,0.31835650006901656
211,208-929,208,929,0.2948491830557491
212,208-930,208,930,0.2944239526857087
213,209-901,209,901,0.3046236570251358
214,209-902,209,902,0.3046236570251358
215,209-903,209,903,0.3473006963179061
216,209-904,209,904,0.32353405504672367
217,209-905,209,905,0.28495733265480266
218,209-906,209,906,0.2963686613712359
219,209-907,209,907,0.29624381664846483
220,209-908,209,908,0.2865511006226458
221,209-909,209,909,0.29483548390530384
222,209-910,209,910,0.3194452059744719
223,209-911,209,911,0.35940114623657216
224,209-912,209,912,0.35940114623657216
225,209-913,209,913,0.37256510208728655
226,209-914,209,914,0.37244264111761116
227,209-915,209,915,0.3826808590046973
228,209-917,209,917,0.3815430496349748
229,209-918,209,918,0.3706519466017005
230,209-919,209,919,0.34576797398393033
231,209-920,209,920,0.3630875843623744
232,209-921,209,921,0.3399766334358461
233,209-922,209,922,0.3399766334358461
234,209-923,209,923,0.34408399273474266
235,209-924,209,924,0.34126730203214983
236,209-925,209,925,0.3349229848172551
237,209-926,209,926,0.3349229848172551
238,209-927,209,927,0.3349229848172551
239,209-928,209,928,0.3278610653197141
240,209-929,209,929,0.3043537483064466
241,209-930,209,930,0.30392851793640624
242,210-901,210,901,0.3346001039659426
243,210-902,210,902,0.3346001039659426
244,210-903,210,903,0.37727714325871287
245,210-904,210,904,0.3535105019875304
246,210-905,210,905,0.3149337795956095
247,210-906,210,906,0.3263451083120427
248,210-907,210,907,0.3262202635892716
249,210-908,210,908,0.31652754756345264
250,210-909,210,909,0.31652754756345264
251,210-910,210,910,0.3411372696326207
252,210-911,210,911,0.38326278144270665
253,210-912,210,912,0.38326278144270665
254,210-913,210,913,0.39642673729342104
255,210-915,210,915,0.4065424942108318
256,210-917,210,917,0.41033566432078517
257,210-918,210,918,0.4014204475715697
258,210-919,210,919,0.37653647495379955
259,210-920,210,920,0.39385608533224364
260,210-921,210,921,0.35781712049928616
261,210-922,210,922,0.35781712049928616
262,210-924,210,924,0.3534429094127549
263,210-925,210,925,0.34709859219786016
264,210-926,210,926,0.34709859219786016
265,210-927,210,927,0.34709859219786016
266,210-928,210,928,0.3521685802166418
267,210-929,210,929,0.3487082350570678
268,210-930,210,930,0.3487082350570678
269,211-901,211,901,0.33307204358695114
270,211-902,211,902,0.33307204358695114
271,211-903,211,903,0.3757490828797214
272,211-904,211,904,0.351982441608539
273,211-905,211,905,0.31340571921661803
274,211-906,211,906,0.3248170479330513
275,211-907,211,907,0.32469220321028014
276,211-908,211,908,0.3149994871844612
277,211-909,211,909,0.3149994871844612
278,211-910,211,910,0.33960920925362925
279,211-911,211,911,0.3817347210637152
280,211-912,211,912,0.3817347210637152
281,211-913,211,913,0.3948986769144296
282,211-915,211,915,0.4050144338318403
283,211-916,211,916,0.40630868396922176
284,211-917,211,917,0.4088076039417937
285,211-918,211,918,0.39989238719257825
286,211-920,211,920,0.3923280249532522
287,211-921,211,921,0.3562890601202947
288,211-922,211,922,0.3562890601202947
289,211-923,211,923,0.36039641941919126
290,211-925,211,925,0.3455705318188687
291,211-926,211,926,0.3455705318188687
292,211-929,211,929,0.3471801746780763
293,211-930,211,930,0.3471801746780763
294,212-901,212,901,0.2945675002560296
295,212-902,212,902,0.2945675002560296
296,212-903,212,903,0.33724453954879985
297,212-906,212,906,0.28749222668191693
298,212-907,212,907,0.28457808738203927
299,212-908,212,908,0.27234145530999393
300,212-909,212,909,0.27234145530999393
301,212-910,212,910,0.29695117737916205
302,212-911,212,911,0.3351369291040828
303,212-912,212,912,0.3351369291040828
304,212-913,212,913,0.3483008849547972
305,212-914,212,914,0.34817842398512183
306,212-915,212,915,0.35841664187220795
307,212-916,212,916,0.35477991252991353
308,212-917,212,917,0.3572788325024855
309,212-918,212,918,0.3572788325024855
310,212-919,212,919,0.33465569427633296
311,212-920,212,920,0.35197530465477705
312,212-922,212,922,0.316015052242698
313,212-923,212,923,0.32012241154159454
314,212-924,212,924,0.32012241154159454
315,212-925,212,925,0.3137780943266998
316,212-926,212,926,0.3137780943266998
317,212-927,212,927,0.3137780943266998
318,212-928,212,928,0.3256407679918924
319,212-929,212,929,0.32218042283231835
320,212-930,212,930,0.32218042283231835
321,213-901,213,901,0.2945675002560296
322,213-902,213,902,0.2945675002560296
323,213-903,213,903,0.33724453954879985
324,213-904,213,904,0.3134778982776175
325,213-905,213,905,0.2721411378803185
326,213-906,213,906,0.28749222668191693
327,213-907,213,907,0.28457808738203927
328,213-908,213,908,0.27234145530999393
329,213-909,213,909,0.27234145530999393
330,213-910,213,910,0.29695117737916205
