,Well,X,Y,NTG
0,201-901,201,901,0.34402705247802823
1,201-902,201,902,0.34329351437017275
2,201-903,201,903,0.34255997626231727
3,201-904,201,904,0.3418264381544619
4,201-905,201,905,0.3410929000466064
5,201-906,201,906,0.34035936193875094
6,201-908,201,908,0.33889228572304
7,201-909,201,909,0.3381587476151845
8,201-910,201,910,0.337425209507329
9,201-911,201,911,0.33669167139947354
10,201-912,201,912,0.33595813329161806
11,201-913,201,913,0.3352245951837626
12,201-915,201,915,0.3337575189680516
13,201-916,201,916,0.33302398086019613
14,201-917,201,917,0.33229044275234065
15,201-918,201,918,0.3315569046444853
16,201-919,201,919,0.3308233665366298
17,201-920,201,920,0.3300898284287743
18,201-921,201,921,0.32935629032091884
19,201-922,201,922,0.32862275221306336
20,201-923,201,923,0.3278892141052079
21,201-925,201,925,0.3264221378894969
22,201-926,201,926,0.32568859978164144
23,201-927,201,927,0.32495506167378596
24,201-928,201,928,0.3242215235659305
25,201-929,201,929,0.323487985458075
26,201-930,201,930,0.3227544473502195
27,202-901,202,901,0.34371879536300254
28,202-902,202,902,0.34298525725514706
29,202-903,202,903,0.3422517191472916
30,202-904,202,904,0.3415181810394362
31,202-905,202,905,0.34078464293158073
32,202-906,202,906,0.34005110482372525
33,202-907,202,907,0.33931756671586977
34,202-908,202,908,0.3385840286080143
35,202-909,202,909,0.3378504905001588
36,202-910,202,910,0.3371169523923033
37,202-911,202,911,0.33638341428444785
38,202-912,202,912,0.33564987617659237
39,202-913,202,913,0.3349163380687369
40,202-914,202,914,0.3341827999608814
41,202-915,202,915,0.3334492618530259
42,202-916,202,916,0.33271572374517044
43,202-917,202,917,0.33198218563731496
44,202-918,202,918,0.3312486475294596
45,202-919,202,919,0.3305151094216041
46,202-920,202,920,0.32978157131374863
47,202-921,202,921,0.32904803320589315
48,202-923,202,923,0.3275809569901822
49,202-924,202,924,0.3268474188823267
50,202-926,202,926,0.32538034266661575
51,202-927,202,927,0.32464680455876027
52,202-928,202,928,0.3239132664509048
53,202-929,202,929,0.3231797283430493
54,202-930,202,930,0.32244619023519383
55,203-901,203,901,0.34341053824797685
56,203-903,203,903,0.3419434620322659
57,203-904,203,904,0.3412099239244105
58,203-905,203,905,0.34047638581655504
59,203-907,203,907,0.3390093096008441
60,203-908,203,908,0.3382757714929886
61,203-909,203,909,0.3375422333851331
62,203-910,203,910,0.33680869527727764
63,203-911,203,911,0.33607515716942216
64,203-912,203,912,0.3353416190615667
65,203-913,203,913,0.3346080809537112
66,203-914,203,914,0.3338745428458557
67,203-915,203,915,0.33314100473800023
68,203-916,203,916,0.33240746663014475
69,203-917,203,917,0.3316739285222893
70,203-918,203,918,0.3309403904144339
71,203-919,203,919,0.3302068523065784
72,203-920,203,920,0.32947331419872294
73,203-921,203,921,0.32873977609086746
74,203-922,203,922,0.328006237983012
75,203-923,203,923,0.3272726998751565
76,203-924,203,924,0.326539161767301
77,203-925,203,925,0.32580562365944554
78,203-926,203,926,0.32507208555159006
