Well,X,Y,NTG
201-901,201,901,
201-902,201,902,
201-903,201,903,
201-904,201,904,
201-905,201,905,
201-906,201,906,
201-908,201,908,0.2292935960591146
201-909,201,909,0.2532049261083732
201-910,201,910,0.27711625615763447
201-911,201,911,0.30102758620689574
201-912,201,912,0.324938916256157
201-913,201,913,0.3488502463054182
201-915,201,915,0.37362448275862065
201-916,201,916,0.3814555172413793
201-917,201,917,0.389286551724138
201-918,201,918,0.3971175862068967
201-919,201,919,0.4049486206896554
201-920,201,920,0.412779655172414
201-921,201,921,0.4206106896551728
201-922,201,922,0.4284417241379314
201-923,201,923,0.4362727586206892
201-925,201,925,
201-926,201,926,
201-927,201,927,
201-928,201,928,
201-929,201,929,
201-930,201,930,
202-901,202,901,
202-902,202,902,
202-903,202,903,
202-904,202,904,
202-905,202,905,0.23045501311844066
202-906,202,906,0.2275843234632682
202-907,202,907,0.20518773113443406
202-908,202,908,0.2326251954379966
202-909,202,909,0.2565365254872552
202-910,202,910,0.28044785553651647
202-911,202,911,0.30435918558577774
202-912,202,912,0.32827051563503895
202-913,202,913,0.3494970214892552
202-914,202,914,0.3534292053973014
202-915,202,915,0.3630772463768116
202-916,202,916,0.3734772463768117
202-917,202,917,0.3838772463768117
202-918,202,918,0.39427724637681183
202-919,202,919,0.40467724637681185
202-920,202,920,0.415077246376812
202-921,202,921,0.425477246376812
202-923,202,923,0.4133146551724143
202-924,202,924,0.40407327586206937
202-926,202,926,
202-927,202,927,
202-928,202,928,
202-929,202,929,
202-930,202,930,
203-901,203,901,
203-903,203,903,0.2577444902548726
203-904,203,904,0.2548738005997002
203-905,203,905,0.25200311094452776
203-907,203,907,0.2040978760619703
203-908,203,908,0.23248580709645328
203-909,203,909,0.2598681248661372
203-910,203,910,0.28377945491539847
203-911,203,911,0.30769078496465974
203-912,203,912,0.33160211501392095
203-913,203,913,0.3414048475762117
203-914,203,914,0.34533703148425793
203-915,203,915,0.34884782608695647
203-916,203,916,0.3592478260869566
203-917,203,917,0.3696478260869567
203-918,203,918,0.38004782608695675
203-919,203,919,0.3904478260869568
203-920,203,920,0.3999353608909834
203-921,203,921,0.4039363889483827
203-922,203,922,0.40581400728207423
203-923,203,923,0.41918965517241424
203-924,203,924,0.4099482758620694
203-925,203,925,0.3846890254872569
203-926,203,926,0.3717166116941533
203-927,203,927,0.35874419790104983
203-928,203,928,0.34577178410794623
203-930,203,930,
204-901,204,901,
204-902,204,902,0.26846090416330304
204-903,204,903,0.24278943028485694
204-905,204,905,0.20455674662668655
204-906,204,906,0.20048778110944515
204-908,204,908,0.23139595202398952
204-909,204,909,0.25978388305846933
204-910,204,910,0.2871110542942804
204-911,204,911,0.3110223843435417
204-912,204,912,0.3248230184907544
204-913,204,913,0.33331267366316825
204-914,204,914,0.3372448575712144
204-915,204,915,0.33521727136431784
204-916,204,916,0.3450184057971015
204-917,204,917,0.3554184057971016
204-918,204,918,0.3649372777896768
204-919,204,919,0.37406535660741086
204-920,204,920,0.3831934354251449
204-921,204,921,0.37723980509745103
204-922,204,922,0.37047642964232275
204-923,204,923,0.38905278432212387
204-924,204,924,0.4076291390019269
204-926,204,926,0.3648300899550229
204-927,204,927,0.3518576761619193
204-928,204,928,0.3200295352323844
204-929,204,929,
204-930,204,930,
205-901,205,901,
205-902,205,902,0.2733338138622997
205-903,205,903,0.25941823463268304
205-904,205,904,0.22453418290854513
205-905,205,905,0.20193428285857062
205-906,205,906,0.1978653173413292
205-907,205,907,0.20393428285857285
205-908,205,908,0.2470032483758132
205-909,205,909,0.26983083458270746
205-910,205,910,0.29265842078960413
205-912,205,912,0.3167308445777109
205-913,205,913,0.32522049975012485
205-914,205,914,0.32915268365817096
205-915,205,915,0.3271250974512744
205-917,205,917,0.33906727350610427
205-918,205,918,0.34819535232383836
205-919,205,919,0.3573234311415724
205-920,205,920,0.35821317198543573
205-921,205,921,0.35054322124651943
205-922,205,922,0.34287327050760313
205-924,205,924,0.38437466266866466
205-925,205,925,0.36973335832084026
205-926,205,926,0.3560005997001505
205-928,205,928,0.293804897551225
205-929,205,929,
205-930,205,930,
206-901,206,901,
206-902,206,902,0.2782067235612964
206-903,206,903,0.2760470389805091
206-904,206,904,0.2411629872563712
206-905,206,905,0.2176026424287848
206-906,206,906,0.19524285357321325
206-907,206,907,0.20131181909045692
206-908,206,908,0.2479325087456297
206-909,206,909,0.29070837081459144
206-910,206,910,0.3135359570214882
206-911,206,911,0.31046729135432305
206-913,206,913,0.3134065217391305
206-915,206,915,0.35034968515742104
206-916,206,916,0.3399217391304346
206-917,206,917,0.32492173913043454
206-918,206,918,0.33145342685799983
206-919,206,919,0.33918653887342043
206-920,206,920,0.33151658813450413
206-921,206,921,0.3227135532233893
206-922,206,922,0.3464756221889067
206-923,206,923,0.33665884557721026
206-924,206,924,0.36158988005996906
206-925,206,925,0.34572091454272974
206-926,206,926,0.32509299100449834
206-927,206,927,0.29710505997001585
206-928,206,928,0.2696414542728637
206-930,206,930,
