Well,X,Y,NTG
201-901,201,901,0.236
201-902,201,902,0.23730833333333332
201-903,201,903,0.23818055555555553
201-904,201,904,0.2345846296296296
201-905,201,905,0.22419640740740737
201-906,201,906,0.214725
201-908,201,908,0.21656666666666666
201-909,201,909,0.22775833333333334
201-910,201,910,0.22915729166666665
201-911,201,911,0.23074356026785714
201-912,201,912,0.2903784764074901
201-913,201,913,0.3624
201-915,201,915,0.3624
201-916,201,916,0.35350000000000004
201-917,201,917,0.35035243484289125
201-918,201,918,0.3482882627464655
201-919,201,919,0.34709018036334
201-920,201,920,0.38238025795549846
201-921,201,921,0.4335
201-922,201,922,0.42067499999999997
201-923,201,923,0.42067499999999997
201-925,201,925,0.42067499999999997
201-926,201,926,0.39975
201-927,201,927,0.3874416666666667
201-928,201,928,0.37420313492063495
201-929,201,929,0.36390703373015876
201-930,201,930,0.3553023445767196
202-901,202,901,0.236
202-902,202,902,0.236
202-903,202,903,0.24123333333333333
202-904,202,904,0.2326074074074074
202-905,202,905,0.22433999999999998
202-906,202,906,0.214725
202-907,202,907,0.214725
202-908,202,908,0.23895
202-909,202,909,0.23055625
202-910,202,910,0.2323298288690476
202-911,202,911,0.23660367869543653
202-912,202,912,0.28664868850411984
202-913,202,913,0.33176666666666665
202-914,202,914,0.33176666666666665
202-915,202,915,0.3446
202-916,202,916,0.3472048696857825
202-917,202,917,0.3462240906500398
202-918,202,918,0.3458920979802145
202-919,202,919,0.34556418479198725
202-920,202,920,0.37960546453809335
202-921,202,921,0.40336666666666665
202-923,202,923,0.40515999999999996
202-924,202,924,0.3971
202-926,202,926,0.38314999999999994
202-927,202,927,0.378945873015873
202-928,202,928,0.379425
202-929,202,929,0.351
202-930,202,930,0.351
203-901,203,901,0.236
203-903,203,903,0.24123333333333333
203-904,203,904,0.22433999999999998
203-905,203,905,0.22433999999999998
203-907,203,907,0.214725
203-908,203,908,0.23895
203-909,203,909,0.24184744047619047
203-910,203,910,0.25418403397817463
203-911,203,911,0.2679997489872685
203-912,203,912,0.29203090825335964
203-913,203,913,0.31135925268482917
203-914,203,914,0.3249229090185059
203-915,203,915,0.32831947874313006
203-916,203,916,0.3338390580714854
203-917,203,917,0.3387036036814616
203-918,203,918,0.34098619807792896
203-919,203,919,0.34197029532249457
203-920,203,920,0.3686144805681246
203-921,203,921,0.40336666666666665
203-922,203,922,0.40515999999999996
203-923,203,923,0.40515999999999996
203-924,203,924,0.3971
203-925,203,925,0.3971
203-926,203,926,0.3667285714285714
203-927,203,927,0.36331037698412694
203-928,203,928,0.35718
203-930,203,930,0.32339999999999997
204-901,204,901,0.236
204-902,204,902,0.236
204-903,204,903,0.24123333333333333
204-905,204,905,0.21856666666666666
204-906,204,906,0.20972
204-908,204,908,0.24506666666666665
204-909,204,909,0.25007306547619046
204-910,204,910,0.2557142857142857
204-911,204,911,0.3145833333333333
204-912,204,912,0.3145833333333333
204-913,204,913,0.31338486809287275
204-914,204,914,0.31884229677360787
204-915,204,915,0.31666000000000005
204-916,204,916,0.333125
204-917,204,917,0.333125
204-918,204,918,0.33543870043984764
204-919,204,919,0.3378136054228392
204-920,204,920,0.35645956071981744
204-921,204,921,0.3736889437989495
204-922,204,922,0.39104999999999995
204-923,204,923,0.40515999999999996
204-924,204,924,0.3827
204-926,204,926,0.357925
204-927,204,927,0.34800000000000003
204-928,204,928,0.3351285714285715
204-929,204,929,0.30604
204-930,204,930,0.30604
205-901,205,901,0.236
205-902,205,902,0.23774444444444442
205-903,205,903,0.24123333333333333
205-904,205,904,0.22216
205-905,205,905,0.22216
205-906,205,906,0.212
205-907,205,907,0.23458
205-908,205,908,0.25395999999999996
205-909,205,909,0.2564485379464285
205-910,205,910,0.26489999999999997
205-912,205,912,0.32036666666666663
205-913,205,913,0.32128571428571423
205-914,205,914,0.3206833333333333
205-915,205,915,0.3236
205-917,205,917,0.32894
205-918,205,918,0.33285922785108574
205-919,205,919,0.3305327556189621
205-920,205,920,0.3325861843523238
205-921,205,921,0.3516986290224007
205-922,205,922,0.35858571428571423
205-924,205,924,0.36645714285714287
205-925,205,925,0.36645714285714287
205-926,205,926,0.3437125
205-928,205,928,0.3337875
205-929,205,929,0.30604
205-930,205,930,0.30604
206-901,206,901,0.236
206-902,206,902,0.23739555555555553
206-903,206,903,0.23497644444444443
206-904,206,904,0.23134636111111112
206-905,206,905,0.2190150689484127
206-906,206,906,0.212
206-907,206,907,0.23458
206-908,206,908,0.25395999999999996
206-909,206,909,0.2630142857142857
206-910,206,910,0.26489999999999997
206-911,206,911,0.30501999999999996
206-913,206,913,0.32773749999999996
206-915,206,915,0.33181666666666665
206-916,206,916,0.33626666666666666
206-917,206,917,0.33626666666666666
206-918,206,918,0.33896000000000004
206-919,206,919,0.324425
206-920,206,920,0.31370000000000003
206-921,206,921,0.3373984212767398
206-922,206,922,0.33582
206-923,206,923,0.3603666666666667
206-924,206,924,0.34684000000000004
206-925,206,925,0.3509000148809524
206-926,206,926,0.33537142857142854
206-927,206,927,0.32402857142857144
206-928,206,928,0.32402857142857144
206-930,206,930,0.30604
207-901,207,901,0.236
207-902,207,902,0.2363488888888889
207-903,207,903,0.23620202777777777
207-904,207,904,0.23467245486111113
207-905,207,905,0.21746433103032878
207-906,207,906,0.19876666666666665
207-908,207,908,0.254525
207-909,207,909,0.26489999999999997
207-911,207,911,0.3175333333333333
207-913,207,913,0.34439
207-914,207,914,0.3465555555555555
207-915,207,915,0.3516125
207-916,207,916,0.35495
207-917,207,917,0.35128892857142857
207-918,207,918,0.3561166666666667
207-920,207,920,0.332
207-921,207,921,0.332507684255348
207-922,207,922,0.3408054903813934
207-923,207,923,0.34580495250371696
207-924,207,924,0.3535166666666667
207-925,207,925,0.3535166666666667
207-926,207,926,0.3413285714285715
207-928,207,928,0.3205
207-929,207,929,0.29625
208-901,208,901,0.236
208-902,208,902,0.23608722222222223
208-903,208,903,0.2361649861111111
208-904,208,904,0.236749765625
208-905,208,905,0.22050969766143338
208-906,208,906,0.1897
208-907,208,907,0.25730000000000003
208-908,208,908,0.2735666666666667
208-909,208,909,0.2784
208-910,208,910,0.2784
208-911,208,911,0.32991428571428566
208-912,208,912,0.33831249999999996
208-913,208,913,0.3498272727272727
208-914,208,914,0.35231999999999997
208-916,208,916,0.36339
208-917,208,917,0.36339
208-918,208,918,0.3609714285714286
208-920,208,920,0.34362000000000004
208-921,208,921,0.33793467970821245
208-922,208,922,0.3394429866684347
208-923,208,923,0.34362691678943125
208-924,208,924,0.3438428571428571
208-926,208,926,0.3364888888888889
208-927,208,927,0.3202625
208-928,208,928,0.3184
208-929,208,929,0.31739999999999996
208-930,208,930,0.31739999999999996
209-901,209,901,0.236
209-902,209,902,0.23602180555555555
209-903,209,903,0.23995959374999998
209-904,209,904,0.24570496778549383
209-905,209,905,0.23509988912076402
209-906,209,906,0.2373565797377112
209-907,209,907,0.24695384051146893
209-908,209,908,0.2649919202557345
209-909,209,909,0.27277077325603605
209-910,209,910,0.2863937973333235
209-911,209,911,0.30220473686206156
209-912,209,912,0.33339711430774077
209-913,209,913,0.3572444444444444
209-914,209,914,0.3612875
209-915,209,915,0.3612875
209-917,209,917,0.36745555555555554
209-918,209,918,0.36268571428571433
209-919,209,919,0.35695000000000005
209-920,209,920,0.34276
209-921,209,921,0.34077435137994017
209-922,209,922,0.3387857142857143
209-923,209,923,0.34585
209-924,209,924,0.34096666666666664
209-925,209,925,0.3433833333333333
209-926,209,926,0.33264285714285713
209-927,209,927,0.3278267970521542
209-928,209,928,0.32104989957887925
209-929,209,929,0.3191433165964798
209-930,209,930,0.3184483291491199
210-901,210,901,0.236
210-902,210,902,0.2515643611111111
210-903,210,903,0.2699455256558642
210-904,210,904,0.282835014531893
210-905,210,905,0.28417331190635853
210-906,210,906,0.27684595615296675
210-907,210,907,0.26873909410053676
210-908,210,908,0.26849527935777906
210-909,210,909,0.27248392769629587
210-910,210,910,0.2780031012626987
210-911,210,911,0.28670513183469243
210-912,210,912,0.33303954240199724
210-913,210,913,0.36957142857142855
210-915,210,915,0.3770166666666666
210-917,210,917,0.37303749999999997
210-918,210,918,0.36268571428571433
210-919,210,919,0.35695000000000005
210-920,210,920,0.34276
210-921,210,921,0.3424840558272544
210-922,210,922,0.3387857142857143
210-924,210,924,0.34096666666666664
210-925,210,925,0.3433833333333333
210-926,210,926,0.3433833333333333
210-927,210,927,0.32285
210-928,210,928,0.32076000000000005
210-929,210,929,0.31985
210-930,210,930,0.3292854114363999
211-901,211,901,0.236
211-902,211,902,0.26452739351851856
211-903,211,903,0.3138
211-904,211,904,0.3138
211-905,211,905,0.3138
211-906,211,906,0.3138
211-907,211,907,0.29329626256337593
211-908,211,908,0.28367773791563394
211-909,211,909,0.28036390676513956
211-910,211,910,0.2802188918806861
211-911,211,911,0.28291394079361276
211-912,211,912,0.33369655344218657
211-913,211,913,0.39924
211-915,211,915,0.39076666666666665
211-916,211,916,0.37652499999999994
211-917,211,917,0.37652499999999994
211-918,211,918,0.3666714285714286
211-920,211,920,0.34834
211-921,211,921,0.34583333333333327
211-922,211,922,0.3418333333333334
211-923,211,923,0.34585
211-925,211,925,0.35279999999999995
211-926,211,926,0.35279999999999995
211-929,211,929,0.3597
211-930,211,930,0.3373588528591
212-901,212,901,0.236
212-902,212,902,0.27381105621693125
212-903,212,903,0.3138
212-906,212,906,0.3138
212-907,212,907,0.304180315640844
212-908,212,908,0.2967986820908496
212-909,212,909,0.29002463179861027
212-910,212,910,0.28672863819637384
212-911,212,911,0.2874772590650033
212-912,212,912,0.33260045586186004
212-913,212,913,0.3769285714285714
212-914,212,914,0.38766666666666666
212-915,212,915,0.3820571428571428
212-916,212,916,0.3817707668627441
212-917,212,917,0.3730310696918765
212-918,212,918,0.3546142857142857
212-919,212,919,0.3546142857142857
212-920,212,920,0.34284000000000003
212-922,212,922,0.33982
212-923,212,923,0.32725
212-924,212,924,0.33502
212-925,212,925,0.35816
212-926,212,926,0.35816
212-927,212,927,0.33914
212-928,212,928,0.3406
212-929,212,929,0.3406
212-930,212,930,0.34181391208088985
213-901,213,901,0.236
213-902,213,902,0.2859831667611489
213-903,213,903,0.31655
213-904,213,904,0.31655
213-905,213,905,0.30162
213-906,213,906,0.295825
213-907,213,907,0.3060404122435444
213-908,213,908,0.29925820042281803
213-909,213,909,0.29630712234105944
213-910,213,910,0.3000475653893406
213-911,213,911,0.3153464104417863
213-912,213,912,0.33962538525674585
213-913,213,913,0.36329586845912054
213-914,213,914,0.37430260705878593
213-915,213,915,0.3780132916526548
213-916,213,916,0.37910457638655354
213-917,213,917,0.3867375
213-918,213,918,0.3623
213-919,213,919,0.3623
213-920,213,920,0.35760000000000003
213-921,213,921,0.3510571428571429
213-922,213,922,0.3515
213-923,213,923,0.3380513333333333
213-924,213,924,0.3392146666666666
213-925,213,925,0.34472957
213-926,213,926,0.3411450227301587
213-927,213,927,0.3342577904596696
213-928,213,928,0.33055410612008884
213-929,213,929,0.3295967954644593
