Well,X,Y,NTG
201-901,201,901,0.2596235377272861
201-902,201,902,0.2560657826504718
201-903,201,903,0.2514939877345495
201-904,201,904,0.2490969007315224
201-905,201,905,0.234496574399734
201-906,201,906,0.2309117922586988
201-908,201,908,0.2356228256700561
201-909,201,909,0.24602714512979287
201-910,201,910,0.26217148603001206
201-911,201,911,0.29725281495688743
201-912,201,912,0.31904936117671634
201-913,201,913,0.33412180582496454
201-915,201,915,0.3487591514796367
201-916,201,916,0.34927880574126796
201-917,201,917,0.35351692025550163
201-918,201,918,0.3748385264134554
201-919,201,919,0.3868134393038746
201-920,201,920,0.39731823066758765
201-921,201,921,0.40645209902512
201-922,201,922,0.40960267531727457
201-923,201,923,0.41183473636201834
201-925,201,925,0.39984632494580824
201-926,201,926,0.3947924626629898
201-927,201,927,0.3750942241711449
201-928,201,928,0.3691155221727066
201-929,201,929,0.3627721682223282
201-930,201,930,0.3586215602389156
202-901,202,901,0.2585171506862514
202-902,202,902,0.25606564317759944
202-903,202,903,0.24878580739825054
202-904,202,904,0.2360983974256608
202-905,202,905,0.240075650237551
202-906,202,906,0.23894225543052167
202-907,202,907,0.23181462813367995
202-908,202,908,0.23755264892661707
202-909,202,909,0.242279989847896
202-910,202,910,0.2737445138787416
202-911,202,911,0.3032447927203595
202-912,202,912,0.3158470214746613
202-913,202,913,0.3314260012626255
202-914,202,914,0.34030186726494877
202-915,202,915,0.34343669939989907
202-916,202,916,0.34657412149364814
202-917,202,917,0.3439411499739916
202-918,202,918,0.3692647763662837
202-919,202,919,0.37679656499301
202-920,202,920,0.39345237565996743
202-921,202,921,0.40423335920262743
202-923,202,923,0.40823636388558554
202-924,202,924,0.39989426837523545
202-926,202,926,0.3877329411839434
202-927,202,927,0.36947868606999396
202-928,202,928,0.3620868516758719
202-929,202,929,0.35599844414671206
202-930,202,930,0.3468709452384064
203-901,203,901,0.2583956293533663
203-903,203,903,0.24551961362560484
203-904,203,904,0.23145182194470576
203-905,203,905,0.23786691610390567
203-907,203,907,0.23151923983876604
203-908,203,908,0.23639142079069736
203-909,203,909,0.24141245952000495
203-910,203,910,0.27715368146095903
203-911,203,911,0.29440212584073705
203-912,203,912,0.3088272851141739
203-913,203,913,0.32754087009235366
203-914,203,914,0.33666553843064523
203-915,203,915,0.33413663847382197
203-916,203,916,0.3357153163570291
203-917,203,917,0.3416645472339625
203-918,203,918,0.35034822970610857
203-919,203,919,0.37181523188320104
203-920,203,920,0.3836028330942195
203-921,203,921,0.39197291380448235
203-922,203,922,0.39538338192380207
203-923,203,923,0.3900232126921247
203-924,203,924,0.3923984783621534
203-925,203,925,0.3884419085083812
203-926,203,926,0.3746938483790651
203-927,203,927,0.3580802525719036
203-928,203,928,0.35082906704211514
203-930,203,930,0.33993613918282073
204-901,204,901,0.25585821074294995
204-902,204,902,0.2532110797600828
204-903,204,903,0.2342961402323165
204-905,204,905,0.2287404344295292
204-906,204,906,0.2286499485367612
204-908,204,908,0.23493497584550993
204-909,204,909,0.26556251054556596
204-910,204,910,0.28484376339791634
204-911,204,911,0.2959690828025801
204-912,204,912,0.3094346611393523
204-913,204,913,0.318639473312726
204-914,204,914,0.32694971714288196
204-915,204,915,0.32909818326726514
204-916,204,916,0.3322330895216478
204-917,204,917,0.3367991463344661
204-918,204,918,0.3404088858144659
204-919,204,919,0.3437176747242004
204-920,204,920,0.3747383869342281
204-921,204,921,0.36877431145789347
204-922,204,922,0.36831375667566524
204-923,204,923,0.36647227481577815
204-924,204,924,0.3828938501670816
204-926,204,926,0.3654566379976605
204-927,204,927,0.3537972054432161
204-928,204,928,0.3445300042301508
204-929,204,929,0.3365829603002188
204-930,204,930,0.3318554040168485
205-901,205,901,0.25572622593392463
205-902,205,902,0.24927449400727858
205-903,205,903,0.23490354139673886
205-904,205,904,0.22980312810403372
205-905,205,905,0.2286454674385341
205-906,205,906,0.2281086837360407
205-907,205,907,0.22686227670525158
205-908,205,908,0.23443257180007146
205-909,205,909,0.26920834549774847
205-910,205,910,0.289250143046021
205-912,205,912,0.3114566673292628
205-913,205,913,0.32199365363152116
205-914,205,914,0.3275646890215042
205-915,205,915,0.3301366598720521
205-917,205,917,0.3364492936952667
205-918,205,918,0.34040981924257
205-919,205,919,0.33944701768244645
205-920,205,920,0.3514112184816467
205-921,205,921,0.35504423530325796
205-922,205,922,0.36087263075218307
205-924,205,924,0.3744573743651912
205-925,205,925,0.36452423388478644
205-926,205,926,0.35542703314050145
