,Well,X,Y,NTG
0,201-901,201,901,0.26286
1,201-902,201,902,0.26286
2,201-903,201,903,0.26286
3,201-904,201,904,0.26286
4,201-905,201,905,0.26286
5,201-906,201,906,0.26286
6,201-908,201,908,0.26286
7,201-909,201,909,0.30622
8,201-910,201,910,0.30622
9,201-911,201,911,0.28193999999999997
10,201-912,201,912,0.28194
11,201-913,201,913,0.32588000000000006
12,201-915,201,915,0.34416
13,201-916,201,916,0.36316000000000004
14,201-917,201,917,0.3786
15,201-918,201,918,0.3786
16,201-919,201,919,0.3786
17,201-920,201,920,0.3786
18,201-921,201,921,0.3786
19,201-922,201,922,0.37748
20,201-923,201,923,0.38242
21,201-925,201,925,0.38242
22,201-926,201,926,0.38242
23,201-927,201,927,0.36744
24,201-928,201,928,0.36744
25,201-929,201,929,0.3344
26,201-930,201,930,0.3344
27,202-901,202,901,0.26286
28,202-902,202,902,0.26286
29,202-903,202,903,0.26286
30,202-904,202,904,0.26286
31,202-905,202,905,0.26286
32,202-906,202,906,0.26286
33,202-907,202,907,0.26286
34,202-908,202,908,0.26286
35,202-909,202,909,0.30622
36,202-910,202,910,0.30622
37,202-911,202,911,0.30622
38,202-912,202,912,0.28194
39,202-913,202,913,0.32848
40,202-914,202,914,0.32588000000000006
41,202-915,202,915,0.36392
42,202-916,202,916,0.34416
43,202-917,202,917,0.3786
44,202-918,202,918,0.3786
45,202-919,202,919,0.3786
46,202-920,202,920,0.3786
47,202-921,202,921,0.37748
48,202-923,202,923,0.38242
49,202-924,202,924,0.38242
50,202-926,202,926,0.38242
51,202-927,202,927,0.36744
52,202-928,202,928,0.3344
53,202-929,202,929,0.3344
54,202-930,202,930,0.3344
55,203-901,203,901,0.26286
56,203-903,203,903,0.26286
57,203-904,203,904,0.26286
58,203-905,203,905,0.26286
59,203-907,203,907,0.26286
60,203-908,203,908,0.26286
61,203-909,203,909,0.26286000000000004
62,203-910,203,910,0.30622000000000005
63,203-911,203,911,0.30622000000000005
64,203-912,203,912,0.30622000000000005
65,203-913,203,913,0.32848
66,203-914,203,914,0.32848
67,203-915,203,915,0.36392
68,203-916,203,916,0.36392
69,203-917,203,917,0.34416
70,203-918,203,918,0.3786
71,203-919,203,919,0.3786
72,203-920,203,920,0.3786
73,203-921,203,921,0.37748
74,203-922,203,922,0.37748
75,203-923,203,923,0.37748
76,203-924,203,924,0.38242
77,203-925,203,925,0.38242
78,203-926,203,926,0.38242
79,203-927,203,927,0.35028
80,203-928,203,928,0.3344
81,203-930,203,930,0.3344
82,204-901,204,901,0.26286
83,204-902,204,902,0.26286
84,204-903,204,903,0.26286
85,204-905,204,905,0.26286
86,204-906,204,906,0.26286
87,204-908,204,908,0.26286
88,204-909,204,909,0.26286000000000004
89,204-910,204,910,0.30622000000000005
90,204-911,204,911,0.30622000000000005
91,204-912,204,912,0.32848
92,204-913,204,913,0.32848
93,204-914,204,914,0.32848
94,204-915,204,915,0.36392
95,204-916,204,916,0.36392
96,204-917,204,917,0.34416
97,204-918,204,918,0.37936000000000003
98,204-919,204,919,0.3786
99,204-920,204,920,0.3786
100,204-921,204,921,0.37748
101,204-922,204,922,0.37748
102,204-923,204,923,0.37748
103,204-924,204,924,0.38242
104,204-926,204,926,0.35028
105,204-927,204,927,0.35028
106,204-928,204,928,0.3344
107,204-929,204,929,0.3344
108,204-930,204,930,0.3344
109,205-901,205,901,0.23876
110,205-902,205,902,0.23876
111,205-903,205,903,0.26286
112,205-904,205,904,0.26286
113,205-905,205,905,0.26286
114,205-906,205,906,0.26286
115,205-907,205,907,0.26286
116,205-908,205,908,0.26286
117,205-909,205,909,0.26286000000000004
