,Well,X,Y,NTG
0,201-901,201,901,0.2401685400342361
1,201-902,201,902,0.23944134838228012
2,201-903,201,903,0.23727268983757166
3,201-904,201,904,0.2347324654736061
4,201-905,201,905,0.23214641961686572
5,201-906,201,906,0.22680388479555635
6,201-908,201,908,0.22986346263300836
7,201-909,201,909,0.2555519803367394
8,201-910,201,910,0.27144435532468947
9,201-911,201,911,0.2868927471698908
10,201-912,201,912,0.2997677094159482
11,201-913,201,913,0.31619664171792444
12,201-915,201,915,0.3461172900624132
13,201-916,201,916,0.3480986551821741
14,201-917,201,917,0.35654121250848464
15,201-918,201,918,0.357530677041231
16,201-919,201,919,0.383258334695835
17,201-920,201,920,0.38958478691755993
18,201-921,201,921,0.3973509057367983
19,201-922,201,922,0.40338537837550736
20,201-923,201,923,0.40687601014094144
21,201-925,201,925,0.40081621874551976
22,201-926,201,926,0.3895324528825359
23,201-927,201,927,0.3812484794597989
24,201-928,201,928,0.3703780806139164
25,201-929,201,929,0.35161929187303864
26,201-930,201,930,0.3479867777693121
27,202-901,202,901,0.2426306705711044
28,202-902,202,902,0.2434169817079732
29,202-903,202,903,0.23858842983133313
30,202-904,202,904,0.23449228831391275
31,202-905,202,905,0.23328378442629621
32,202-906,202,906,0.23210787733293545
33,202-907,202,907,0.22807604484254096
34,202-908,202,908,0.23407352681821433
35,202-909,202,909,0.25720160585506596
36,202-910,202,910,0.2727144370806459
37,202-911,202,911,0.2876934480468294
38,202-912,202,912,0.2981559229036939
39,202-913,202,913,0.3179743994946314
40,202-914,202,914,0.3367832236847509
41,202-915,202,915,0.3342397272015629
42,202-916,202,916,0.34576869936217464
43,202-917,202,917,0.34436000045400816
44,202-918,202,918,0.3543123112769221
45,202-919,202,919,0.3676214788394522
46,202-920,202,920,0.3806981031899349
47,202-921,202,921,0.3930484534011182
48,202-923,202,923,0.40384309358919274
49,202-924,202,924,0.40104088218665923
50,202-926,202,926,0.38807320678007123
51,202-927,202,927,0.37821542520533064
52,202-928,202,928,0.35349210164756345
53,202-929,202,929,0.34777560507141986
54,202-930,202,930,0.3445957340348137
55,203-901,203,901,0.24654183276042033
56,203-903,203,903,0.23844074493359874
57,203-904,203,904,0.23115333185811524
58,203-905,203,905,0.23319430529108745
59,203-907,203,907,0.2300823721959265
60,203-908,203,908,0.2360689524441991
61,203-909,203,909,0.2501390973511841
62,203-910,203,910,0.2755844894219414
63,203-911,203,911,0.2903951894081883
64,203-912,203,912,0.30686715074908577
65,203-913,203,913,0.3261475408766337
66,203-914,203,914,0.32877754105193063
67,203-915,203,915,0.3293590450392023
68,203-916,203,916,0.3292477103563169
69,203-917,203,917,0.34124455615967836
70,203-918,203,918,0.3465241286004952
71,203-919,203,919,0.3550249779368093
72,203-920,203,920,0.3745677757895014
73,203-921,203,921,0.3836960363592864
74,203-922,203,922,0.3922947491708078
75,203-923,203,923,0.39307564492297736
76,203-924,203,924,0.3925266790540393
77,203-925,203,925,0.39229216413715984
78,203-926,203,926,0.3858227205074411
79,203-927,203,927,0.36352228058102254
80,203-928,203,928,0.3488137015795753
81,203-930,203,930,0.34056411039792867
82,204-901,204,901,0.23878057798719143
83,204-902,204,902,0.24329856563720317
84,204-903,204,903,0.2330953473888408
85,204-905,204,905,0.22943501068008376
86,204-906,204,906,0.2296071528091425
87,204-908,204,908,0.2354368174472076
88,204-909,204,909,0.25441912418999035
89,204-910,204,910,0.2667932884148045
90,204-911,204,911,0.2937907761743304
91,204-912,204,912,0.30480775433256013
92,204-913,204,913,0.3219464850206826
93,204-914,204,914,0.325127603142036
94,204-915,204,915,0.32697704887565454
95,204-916,204,916,0.33275722460840707
96,204-917,204,917,0.3333750635017967
97,204-918,204,918,0.34259230592977535
98,204-919,204,919,0.3450427702922333
99,204-920,204,920,0.36613629657798563
100,204-921,204,921,0.3724144815297067
101,204-922,204,922,0.3749308513800914
102,204-923,204,923,0.3793895300770772
103,204-924,204,924,0.3837123428050761
104,204-926,204,926,0.3698961334010562
105,204-927,204,927,0.3459716680515265
106,204-928,204,928,0.3360505178036885
107,204-929,204,929,0.33062824063861446
108,204-930,204,930,0.3264268266971463
109,205-901,205,901,0.23604525107073743
110,205-902,205,902,0.2339776288509387
