Well,X,Y,NTG
201-901,201,901,0.14639844006766367
201-902,201,902,0.15498937672843027
201-903,201,903,0.16499237722624827
201-904,201,904,0.1763077453421502
201-905,201,905,0.18883247679938364
201-906,201,906,0.20245774841774988
201-908,201,908,0.23254907882679987
201-909,201,909,0.24877363449801493
201-910,201,910,0.2656142861293702
201-911,201,911,0.28293868905772257
201-912,201,912,0.3006114364313035
201-913,201,913,0.31849026686419535
201-915,201,915,0.3542901129173188
201-916,201,916,0.3719124347614198
201-917,201,917,0.38914524025191355
201-918,201,918,0.405832395021811
201-919,201,919,0.421817839209929
201-920,201,920,0.4369399995254426
201-921,201,921,0.45104026800860453
201-922,201,922,0.4639545381711869
201-923,201,923,0.47552689916361857
201-925,201,925,0.49400220817793894
201-926,201,926,0.500592470233336
201-927,201,927,0.5052086711572557
201-928,201,928,0.5077077001975923
201-929,201,929,0.5079424381898789
201-930,201,930,0.5057770312475114
202-901,202,901,0.17128600186575937
202-902,202,902,0.17735256261099863
202-903,202,903,0.18476204580534983
202-904,202,904,0.19340855634678888
202-905,202,905,0.20318146056403208
202-906,202,906,0.2139647827195077
202-907,202,907,0.22563449299801874
202-908,202,908,0.2380627468871026
202-909,202,909,0.25111204392184305
202-910,202,910,0.26464296883811045
202-911,202,911,0.2785055339979081
202-912,202,912,0.29254955059756327
202-913,202,913,0.3066112995790391
202-914,202,914,0.3205277622388749
202-915,202,915,0.3341294378684907
202-916,202,916,0.34723611182440806
202-917,202,917,0.35966716713179636
202-918,202,918,0.3712388128684907
202-919,202,919,0.38175493485201883
202-920,202,920,0.39102153486479807
202-921,202,921,0.3988380432771592
202-923,202,923,0.4092942178892045
202-924,202,924,0.4115189016508012
202-926,202,926,0.40888619429339457
202-927,202,927,0.40359848744143534
202-928,202,928,0.3953763098167329
202-929,202,929,0.38399720198382425
202-930,202,930,0.3692442477392106
203-901,203,901,0.1961168200420289
203-903,203,903,0.20551638311614084
203-904,203,904,0.21209198987950373
203-905,203,905,0.2197706252979188
203-907,203,907,0.23795310414303827
203-908,203,908,0.24819744384755182
203-909,203,909,0.2590256333993821
203-910,203,910,0.27029158181418467
203-911,203,911,0.28183814889658976
203-912,203,912,0.29350513226260233
203-913,203,913,0.30512166029681254
203-914,203,914,0.316513747041121
203-915,203,915,0.3274909109519868
203-916,203,916,0.33786912268866587
203-917,203,917,0.34744487709273386
203-918,203,918,0.3560134024070649
203-919,203,919,0.3633623719858079
203-920,203,920,0.3692701310562043
203-921,203,921,0.37351226813067484
203-922,203,922,0.37585505849589396
203-923,203,923,0.3760577142881303
203-924,203,924,0.3738773763822465
203-925,203,925,0.3690603823112397
203-926,203,926,0.3613474369691758
203-927,203,927,0.35048455006350565
203-928,203,928,0.33619986480940867
203-930,203,930,0.29628053313960123
204-901,204,901,0.21957243985404062
204-902,204,902,0.22187770909537363
204-903,204,903,0.22550968832243967
204-905,204,905,0.23633928603400278
204-906,204,906,0.2433098182724862
204-908,204,908,0.25973928726185846
204-909,204,909,0.2689257264779954
204-910,204,910,0.2785666138576417
204-911,204,911,0.28850433236826944
204-912,204,912,0.29857486492861796
204-913,204,913,0.3086073399232774
204-914,204,914,0.3184210956739335
204-915,204,915,0.3278237432884126
204-916,204,916,0.3366207630084901
204-917,204,917,0.34460292762984324
204-918,204,918,0.35155974334944773
204-919,204,919,0.3572607637094407
204-920,204,920,0.36147861189116526
204-921,204,921,0.3639698029207139
204-922,204,922,0.36448439962138224
204-923,204,923,0.3627663553403764
204-924,204,924,0.358547061746016
204-926,204,926,0.34150052077044535
204-927,204,927,0.32809799916018534
204-928,204,928,0.31104956573714304
204-929,204,929,0.29004693037737894
204-930,204,930,0.26477876312007
205-901,205,901,0.24107588834036875
205-902,205,902,0.24180664128531504
205-903,205,903,0.2438860387252717
205-904,205,904,0.24721581495274592
205-905,205,905,0.2516915351795106
205-906,205,906,0.25720103836525965
205-907,205,907,0.2636255399035363
205-908,205,908,0.2708367184447198
205-909,205,909,0.27869898087252665
205-910,205,910,0.287067666714087
205-912,205,912,0.30470699078311014
205-913,205,913,0.3136484623598008
205-914,205,914,0.3224322498487382
205-915,205,915,0.33087168640364695
205-917,205,917,0.34591995186080027
205-918,205,918,0.3521033377097993
205-919,205,919,0.3570929170297532
205-920,205,920,0.36065559095610666
205-921,205,921,0.36254310614337015
205-922,205,922,0.3624950349973588
205-924,205,924,0.35552963620890665
205-925,205,925,0.348046168749228
205-926,205,926,0.33750462538470316
205-928,205,928,0.3060065359519868
205-929,205,929,0.28440308577288675
205-930,205,930,0.25845780975092936
206-901,206,901,0.26051796979178476
206-902,206,902,0.2597614676402955
206-903,206,903,0.2603769750045686
206-904,206,904,0.2622738555716424
206-905,206,905,0.26535435027350474
206-906,206,906,0.26951202011574793
206-907,206,907,0.27463427937497187
206-908,206,908,0.2806023434447198
206-909,206,909,0.2872839570688157
206-910,206,910,0.2945454270290284
206-911,206,911,0.30223914987315226
206-913,206,913,0.3182966709779649
206-915,206,915,0.33410464233626413
206-916,206,916,0.34145398444403696
206-917,206,917,0.3481649012016206
206-918,206,918,0.3540249914573579
206-919,206,919,0.3588123918222337
206-920,206,920,0.3622920960830598
206-921,206,921,0.36421871191729593
206-922,206,922,0.36433562642802286
206-923,206,923,0.3623763025449662
206-924,206,924,0.35806354886759806
206-925,206,925,0.35110746330489206
206-926,206,926,0.3412058354066758
206-927,206,927,0.3280465007470994
206-928,206,928,0.3113051504539399
206-930,206,930,0.26572194701899576
207-901,207,901,0.2780708224224
207-902,207,902,0.27587904042471934
207-903,207,903,0.2750783414291291
207-904,207,904,0.27558714902867365
207-905,207,905,0.2773115188526063
207-906,207,906,0.2801578865097909
207-908,207,908,0.28878677642811823
207-909,207,909,0.2943344712900071
207-911,207,911,0.3072526157544999
207-913,207,913,0.32164597517718363
207-914,207,914,0.32900115854014444
207-915,207,915,0.3362332434104829
207-916,207,916,0.3431553394245057
207-917,207,917,0.34957920021285105
207-918,207,918,0.355295285646811
207-920,207,920,0.3637311906265168
207-921,207,921,0.36598777777422953
207-922,207,922,0.3666034639524369
207-923,207,923,0.36532410985697794
207-924,207,924,0.3618715704130082
207-925,207,925,0.3559616655753999
207-926,207,926,0.34729599959124613
207-928,207,928,0.3204451651023774
207-929,207,929,0.30159974104632425
208-901,208,901,0.29402722424735117
208-902,208,902,0.2904435545848756
208-903,208,903,0.28826670355071116
208-904,208,904,0.28741461790074396
208-905,208,905,0.2878095657276063
208-906,208,906,0.289357982640162
208-907,208,907,0.29196635640133906
208-908,208,908,0.2955292538451104
208-909,208,909,0.29993635422457743
208-910,208,910,0.30506636208762217
208-911,208,911,0.3107945621656327
208-912,208,912,0.3169807792352586
208-913,208,913,0.3234856129335313
208-914,208,914,0.3301512897657304
208-916,208,916,0.34330029792059946
208-917,208,917,0.34942851967085886
208-918,208,918,0.3550006002830415
208-920,208,920,0.3636539430068879
208-921,208,921,0.3662910462068467
208-922,208,922,0.3674846590207963
208-923,208,923,0.36698636419047403
208-924,208,924,0.364528507058516
208-926,208,926,0.35262703901995707
208-927,208,927,0.3425881267236619
208-928,208,928,0.32940779632796335
208-929,208,929,0.3127586842225938
208-930,208,930,0.29229798919428873
209-901,209,901,0.30870236462821055
209-902,209,902,0.3037845045970826
209-903,209,903,0.30027537054289866
209-904,209,904,0.2981024459647088
209-905,209,905,0.29718895262946177
209-906,209,906,0.29745563126076746
209-907,209,907,0.29881373799313593
209-908,209,908,0.3011683300780206
209-909,209,909,0.3044148088144212
209-910,209,910,0.3084461838649659
209-911,209,911,0.3131434620069413
209-912,209,912,0.31837981945742655
209-913,209,913,0.324022531573668
209-914,209,914,0.32993003732432413
209-915,209,915,0.335947141115561
209-917,209,917,0.3476527780937104
209-918,209,918,0.3529912084983735
209-919,209,919,0.357730925147429
209-920,209,920,0.3616693467544465
209-921,209,921,0.3645925522493272
209-922,209,922,0.36627349263896036
209-923,209,923,0.36647138005961466
209-924,209,924,0.3649395406888871
209-925,209,925,0.361412867967978
209-926,209,926,0.35561394697894144
209-927,209,927,0.34725254780520487
209-928,209,928,0.33602724975813913
209-929,209,929,0.32161927229632425
209-930,209,930,0.3036953509496598
210-901,210,901,0.3223647028850465
210-902,210,902,0.3161879927562623
210-903,210,903,0.31141142553557444
210-904,210,904,0.3079729751395135
210-905,210,905,0.305797770683661
210-906,210,906,0.3048170433091073
210-907,210,907,0.3049458638476281
210-908,210,908,0.3060988262938409
210-909,210,909,0.30818086868990946
210-910,210,910,0.31109167641867685
210-911,210,911,0.3147237003492265
210-912,210,912,0.31896156079043436
210-913,210,913,0.32368016249407816
210-915,210,915,0.3340264410423188
210-917,210,917,0.3445981592582612
210-918,210,918,0.34956561035384226
210-919,210,919,0.3540850282358079
210-920,210,920,0.35796527570952463
210-921,210,921,0.36100482947100687
210-922,210,922,0.36299380666483927
210-924,210,924,0.3629101217435746
210-925,210,925,0.36035524315108347
210-926,210,926,0.3557760716127305
210-927,210,927,0.3489052653955369
210-928,210,928,0.33944617218245554
210-929,210,929,0.327104806964293
210-930,210,930,0.3115612567113786
211-901,211,901,0.3351992518352418
211-902,211,902,0.3278619200633912
211-903,211,903,0.32190947241057444
211-904,211,904,0.3172836974905877
211-905,211,905,0.313920214836493
211-906,211,906,0.31174930191506434
211-907,211,907,0.3106965199755578
211-908,211,908,0.3106821850584893
211-909,211,909,0.3116226792978196
211-910,211,910,0.3134176880763917
