Well,X,Y,NTG
201-901,201,901,0.2672729999999997
201-902,201,902,0.2497379999999997
201-903,201,903,0.2540829999999998
201-904,201,904,0.23447699999999977
201-905,201,905,0.23421599999999984
201-906,201,906,0.2375469999999998
201-908,201,908,0.2379730000000002
201-909,201,909,0.2589900000000002
201-910,201,910,0.3053620000000002
201-911,201,911,0.31031000000000036
201-912,201,912,0.32483300000000015
201-913,201,913,0.3505670000000002
201-915,201,915,0.36567900000000014
201-916,201,916,0.37240700000000004
201-917,201,917,0.37689299999999987
201-918,201,918,0.3858039999999999
201-919,201,919,0.39223299999999994
201-920,201,920,0.40229799999999977
201-921,201,921,0.4153369999999995
201-922,201,922,0.4236649999999994
201-923,201,923,0.4325669999999993
201-925,201,925,0.4258519999999993
201-926,201,926,0.41794199999999937
201-927,201,927,0.4117459999999995
201-928,201,928,0.39957999999999955
201-929,201,929,0.38758599999999954
201-930,201,930,0.37988699999999953
202-901,202,901,0.2703829999999997
202-902,202,902,0.25284799999999974
202-903,202,903,0.25869999999999976
202-904,202,904,0.24181999999999979
202-905,202,905,0.24509099999999978
202-906,202,906,0.24997299999999978
202-907,202,907,0.21666100000000005
202-908,202,908,0.25265200000000015
202-909,202,909,0.27037500000000014
202-910,202,910,0.31704700000000013
202-911,202,911,0.32125000000000037
202-912,202,912,0.3308540000000001
202-913,202,913,0.3535070000000001
202-914,202,914,0.3648330000000002
202-915,202,915,0.3692010000000001
202-916,202,916,0.3742589999999999
202-917,202,917,0.38308999999999993
202-918,202,918,0.39648299999999986
202-919,202,919,0.40223499999999973
202-920,202,920,0.4132499999999996
202-921,202,921,0.4221569999999994
202-923,202,923,0.42366399999999943
202-924,202,924,0.4169879999999996
202-926,202,926,0.39641499999999996
202-927,202,927,0.38802199999999987
202-928,202,928,0.38058999999999976
202-929,202,929,0.3725119999999996
202-930,202,930,0.36729899999999965
203-901,203,901,0.27958799999999967
203-903,203,903,0.2659179999999997
203-904,203,904,0.24728999999999968
203-905,203,905,0.24783299999999972
203-907,203,907,0.2097429999999998
203-908,203,908,0.24352199999999993
203-909,203,909,0.26558699999999996
203-910,203,910,0.310579
203-911,203,911,0.31167800000000023
203-912,203,912,0.3223509999999999
203-913,203,913,0.3453349999999999
203-914,203,914,0.356657
203-915,203,915,0.36240599999999984
203-916,203,916,0.3657209999999997
203-917,203,917,0.37100399999999967
203-918,203,918,0.3781629999999997
203-919,203,919,0.37921499999999964
203-920,203,920,0.3851489999999995
203-921,203,921,0.38973099999999944
203-922,203,922,0.38999999999999946
203-923,203,923,0.38956399999999936
203-924,203,924,0.39418099999999945
203-925,203,925,0.3886409999999995
203-926,203,926,0.37983299999999964
203-927,203,927,0.3696209999999996
203-928,203,928,0.3567879999999994
203-930,203,930,0.34139499999999934
204-901,204,901,0.25219999999999965
204-902,204,902,0.2303909999999996
204-903,204,903,0.2338509999999996
204-905,204,905,0.2135119999999996
204-906,204,906,0.22042099999999956
204-908,204,908,0.23279399999999967
204-909,204,909,0.2637159999999997
204-910,204,910,0.3116229999999999
204-911,204,911,0.31295200000000023
204-912,204,912,0.31983199999999984
204-913,204,913,0.34972499999999973
204-914,204,914,0.3593739999999999
204-915,204,915,0.36338499999999974
204-916,204,916,0.36292699999999967
204-917,204,917,0.3705689999999997
204-918,204,918,0.3777069999999998
204-919,204,919,0.38384899999999983
204-920,204,920,0.3911759999999998
204-921,204,921,0.39791099999999974
204-922,204,922,0.40419499999999986
204-923,204,923,0.4028829999999999
204-924,204,924,0.4076779999999999
204-926,204,926,0.3948610000000001
204-927,204,927,0.38568999999999987
204-928,204,928,0.3735519999999998
204-929,204,929,0.3544189999999996
204-930,204,930,0.3458189999999996
205-901,205,901,0.25953999999999966
205-902,205,902,0.2351279999999996
205-903,205,903,0.2431039999999996
205-904,205,904,0.22222899999999954
205-905,205,905,0.21506999999999962
205-906,205,906,0.22090799999999955
205-907,205,907,0.19757199999999975
205-908,205,908,0.2302529999999997
205-909,205,909,0.2586419999999998
205-910,205,910,0.311303
205-912,205,912,0.3085849999999999
205-913,205,913,0.3256139999999998
205-914,205,914,0.32681699999999986
205-915,205,915,0.33052899999999963
205-917,205,917,0.33168399999999953
205-918,205,918,0.3346299999999996
205-919,205,919,0.3367979999999996
205-920,205,920,0.3408719999999996
205-921,205,921,0.34236699999999964
205-922,205,922,0.34329399999999977
205-924,205,924,0.35002999999999984
205-925,205,925,0.3542039999999998
205-926,205,926,0.3531349999999999
205-928,205,928,0.3489849999999998
205-929,205,929,0.3196199999999999
205-930,205,930,0.3116389999999999
206-901,206,901,0.2688299999999997
206-902,206,902,0.25137399999999965
206-903,206,903,0.2579769999999997
206-904,206,904,0.23963699999999963
206-905,206,905,0.22114699999999968
206-906,206,906,0.2247289999999996
206-907,206,907,0.1968829999999998
206-908,206,908,0.23094899999999974
206-909,206,909,0.2589549999999997
206-910,206,910,0.3152529999999998
206-911,206,911,0.30753300000000006
206-913,206,913,0.32068299999999994
206-915,206,915,0.33532200000000034
206-916,206,916,0.33165800000000006
206-917,206,917,0.33068200000000014
206-918,206,918,0.3263789999999998
206-919,206,919,0.3233829999999997
206-920,206,920,0.32562199999999974
206-921,206,921,0.32843899999999976
206-922,206,922,0.3291329999999998
206-923,206,923,0.3280369999999999
206-924,206,924,0.32487199999999994
206-925,206,925,0.32462399999999986
206-926,206,926,0.3131789999999997
206-927,206,927,0.3082999999999997
206-928,206,928,0.29768599999999984
206-930,206,930,0.26577000000000006
207-901,207,901,0.2758139999999998
207-902,207,902,0.2579319999999997
207-903,207,903,0.2655689999999997
207-904,207,904,0.2455869999999997
207-905,207,905,0.21794099999999975
207-906,207,906,0.21920599999999962
207-908,207,908,0.22824299999999975
207-909,207,909,0.2635429999999997
207-911,207,911,0.29687799999999986
207-913,207,913,0.3045469999999997
207-914,207,914,0.32526399999999994
207-915,207,915,0.34543700000000027
207-916,207,916,0.3404690000000001
207-917,207,917,0.33719899999999997
207-918,207,918,0.3292959999999997
207-920,207,920,0.3217929999999995
207-921,207,921,0.3200459999999996
207-922,207,922,0.3177819999999997
207-923,207,923,0.3154909999999998
207-924,207,924,0.3124639999999998
207-925,207,925,0.3101599999999998
207-926,207,926,0.3004369999999996
207-928,207,928,0.2966559999999998
207-929,207,929,0.2708060000000001
208-901,208,901,0.2935229999999999
208-902,208,902,0.2763719999999998
208-903,208,903,0.2860999999999999
208-904,208,904,0.2726589999999999
208-905,208,905,0.23089099999999985
208-906,208,906,0.23809499999999975
208-907,208,907,0.2262349999999998
208-908,208,908,0.2488439999999998
208-909,208,909,0.2744489999999998
208-910,208,910,0.33270999999999973
208-911,208,911,0.3175139999999999
208-912,208,912,0.3132579999999997
208-913,208,913,0.3553510000000002
208-914,208,914,0.3775250000000006
208-916,208,916,0.3761060000000005
208-917,208,917,0.35596000000000033
208-918,208,918,0.31404099999999996
208-920,208,920,0.28735099999999997
208-921,208,921,0.30100200000000005
208-922,208,922,0.3081690000000002
208-923,208,923,0.31711100000000025
208-924,208,924,0.3202860000000004
208-926,208,926,0.3190810000000001
208-927,208,927,0.31823699999999994
208-928,208,928,0.3165350000000002
208-929,208,929,0.2943530000000002
208-930,208,930,0.28963400000000017
209-901,209,901,0.3077829999999999
209-902,209,902,0.28860599999999986
209-903,209,903,0.30221599999999993
209-904,209,904,0.286929
209-905,209,905,0.23341799999999996
209-906,209,906,0.24201099999999987
209-907,209,907,0.2333529999999998
209-908,209,908,0.24819399999999991
209-909,209,909,0.2727759999999999
209-910,209,910,0.3300199999999998
209-911,209,911,0.3215119999999999
209-912,209,912,0.32130799999999987
209-913,209,913,0.3565380000000002
209-914,209,914,0.3720750000000003
209-915,209,915,0.3799380000000007
209-917,209,917,0.36820400000000064
209-918,209,918,0.3534430000000004
209-919,209,919,0.33959800000000034
209-920,209,920,0.3462250000000004
209-921,209,921,0.35375500000000015
209-922,209,922,0.3561550000000003
209-923,209,923,0.3638300000000003
209-924,209,924,0.3570490000000004
209-925,209,925,0.3544000000000003
209-926,209,926,0.3482930000000002
209-927,209,927,0.35216800000000004
209-928,209,928,0.34985000000000016
209-929,209,929,0.32147800000000015
209-930,209,930,0.3152660000000002
210-901,210,901,0.3280680000000001
210-902,210,902,0.308146
210-903,210,903,0.3252080000000001
210-904,210,904,0.3136260000000003
210-905,210,905,0.24001300000000003
210-906,210,906,0.249854
210-907,210,907,0.24748899999999985
210-908,210,908,0.25672199999999995
210-909,210,909,0.2808569999999999
210-910,210,910,0.3299639999999997
210-911,210,911,0.32840399999999986
210-912,210,912,0.3337739999999997
210-913,210,913,0.36570299999999967
210-915,210,915,0.4074759999999996
210-917,210,917,0.42644699999999963
210-918,210,918,0.4036119999999998
210-919,210,919,0.38772499999999993
210-920,210,920,0.3880279999999998
210-921,210,921,0.37895299999999993
210-922,210,922,0.3827689999999999
210-924,210,924,0.3671320000000001
210-925,210,925,0.3616490000000001
210-926,210,926,0.35970900000000017
210-927,210,927,0.36530999999999997
210-928,210,928,0.3581410000000001
210-929,210,929,0.33341300000000024
210-930,210,930,0.32805300000000015
211-901,211,901,0.33994900000000017
211-902,211,902,0.3220950000000001
211-903,211,903,0.34141300000000013
211-904,211,904,0.33126000000000033
211-905,211,905,0.24521600000000013
211-906,211,906,0.2567040000000001
211-907,211,907,0.25982299999999986
211-908,211,908,0.26365900000000003
211-909,211,909,0.28668999999999994
211-910,211,910,0.3323289999999999
211-911,211,911,0.336462
211-912,211,912,0.35546099999999986
211-913,211,913,0.3851760000000001
211-915,211,915,0.411364
211-916,211,916,0.4174089999999996
211-917,211,917,0.4072859999999997
211-918,211,918,0.3935149999999997
211-920,211,920,0.3797829999999998
211-921,211,921,0.36003399999999985
211-922,211,922,0.35558599999999996
211-923,211,923,0.3513720000000003
211-925,211,925,0.34312600000000004
211-926,211,926,0.349991
211-929,211,929,0.32975300000000035
211-930,211,930,0.32431000000000026
212-901,212,901,0.35004300000000016
212-902,212,902,0.3297660000000001
212-903,212,903,0.35059400000000024
212-906,212,906,0.24199700000000007
212-907,212,907,0.2564999999999999
212-908,212,908,0.2542850000000001
212-909,212,909,0.27566899999999994
212-910,212,910,0.32178099999999993
212-911,212,911,0.32555400000000007
212-912,212,912,0.34596299999999985
212-913,212,913,0.37607699999999994
212-914,212,914,0.39066500000000004
212-915,212,915,0.38814199999999976
212-916,212,916,0.38588899999999976
212-917,212,917,0.38175399999999987
212-918,212,918,0.3650879999999999
212-919,212,919,0.36361899999999986
212-920,212,920,0.35950099999999985
212-922,212,922,0.3386649999999996
212-923,212,923,0.34189299999999984
212-924,212,924,0.33460999999999996
212-925,212,925,0.33929200000000004
212-926,212,926,0.33684499999999995
212-927,212,927,0.34323099999999995
212-928,212,928,0.34711600000000004
212-929,212,929,0.32160500000000014
212-930,212,930,0.3142689999999999
213-901,213,901,0.3482440000000001
213-902,213,902,0.329321
