Well,X,Y,NTG
201-901,201,901,0.3097194470993294
201-902,201,902,0.31011297943209826
201-903,201,903,0.3105874735128964
201-904,201,904,0.31114292934172383
201-905,201,905,0.31177934691858056
201-906,201,906,0.3124967262434737
201-908,201,908,0.31417437013734073
201-909,201,909,0.3151346347063253
201-910,201,910,0.31617586102333206
201-911,201,911,0.3172980490883752
201-912,201,912,0.31850119890145123
201-913,201,913,0.31978531046254943
201-915,201,915,0.3225964188288408
201-916,201,916,0.3241234156340411
201-917,201,917,0.32573137418726716
201-918,201,918,0.3274202944885225
201-919,201,919,0.32919017653780713
201-920,201,920,0.33104102033512817
201-921,201,921,0.3329728258804785
201-922,201,922,0.33498559317385457
201-923,201,923,0.33707932221525994
201-925,201,925,0.34150966554217277
201-926,201,926,0.34384627982767313
201-927,201,927,0.34626385586119923
201-928,201,928,0.34876239364276174
201-929,201,929,0.35134189317235354
201-930,201,930,0.35400235444998174
202-901,202,901,0.31158203512223537
202-902,202,902,0.3118702730745646
202-903,202,903,0.31223947277493025
202-904,202,904,0.3126896342233181
202-905,202,905,0.3132207574197423
202-906,202,906,0.31383284236419584
202-907,202,907,0.31452588905667866
202-908,202,908,0.3152998974971908
202-909,202,909,0.3161548676857393
202-910,202,910,0.31709079962231
202-911,202,911,0.3181076933069171
202-912,202,912,0.31920554873955354
202-913,202,913,0.32038436592021924
202-914,202,914,0.32164414484890713
202-915,202,915,0.32298488552563853
202-916,202,916,0.32440658795039923
202-917,202,917,0.3259092521231892
202-918,202,918,0.32749287804401206
202-919,202,919,0.3291574657128571
202-920,202,920,0.3309030151297456
202-921,202,921,0.33272952629465635
202-923,202,923,0.3366254338685657
202-924,202,924,0.3386948302775714
202-926,202,926,0.34307650833967074
202-927,202,927,0.34538878999275724
202-928,202,928,0.34778203339388725
202-929,202,929,0.35025623854303944
202-930,202,930,0.35281140544023515
203-901,203,901,0.3134212448671505
203-903,203,903,0.3138680937589733
203-904,203,904,0.31421296082692507
203-905,203,905,0.31463878964291325
203-907,203,907,0.3157333325189775
203-908,203,908,0.3164020465790536
203-909,203,909,0.31715172238716605
203-910,203,910,0.3179823599433007
203-911,203,911,0.31889395924747177
203-912,203,912,0.31988652029967213
203-913,203,913,0.3209600430999018
203-914,203,914,0.3221145276481536
203-915,203,915,0.3233499739444454
203-916,203,916,0.3246663819887736
203-917,203,917,0.326063751781124
203-918,203,918,0.3275420833215108
203-919,203,919,0.3291013766099198
203-920,203,920,0.33074163164637227
203-921,203,921,0.33246284843084695
203-922,203,922,0.3342650269633509
203-923,203,923,0.3361481672438842
203-924,203,924,0.33811226927245386
203-925,203,925,0.3401573330490528
203-926,203,926,0.3422833585736811
203-927,203,927,0.34449034584633154
203-928,203,928,0.3467782948670255
203-930,203,930,0.3515970781525013
204-901,204,901,0.31523707633408904
204-902,204,902,0.31531472552554973
204-903,204,903,0.3154733364650397
204-905,204,905,0.3160334435881076
204-906,204,906,0.316434939771689
204-908,204,908,0.31748081738293976
204-909,204,909,0.3181251988106162
204-910,204,910,0.3188505419863148
204-911,204,911,0.31965684691004626
204-912,204,912,0.3205441135818141
204-913,204,913,0.32151234200160417
204-914,204,914,0.3225615321694235
204-915,204,915,0.32369168408527926
204-916,204,916,0.32490279774916786
204-917,204,917,0.32619487316108575
204-918,204,918,0.32756791032103294
204-919,204,919,0.3290219092290094
204-920,204,920,0.3305568698850223
204-921,204,921,0.33217279228906094
204-922,204,922,0.33386967644112886
204-923,204,923,0.3356475223412261
204-924,204,924,0.3375063299893597
204-926,204,926,0.3414668305297148
204-927,204,927,0.34356852342192923
204-928,204,928,0.3457511780621836
204-929,204,929,0.34801479445046724
204-930,204,930,0.3503593725867873
205-901,205,901,0.31702952952304386
205-902,205,902,0.31700188433406495
205-903,205,903,0.3170552008931189
205-904,205,904,0.31718947920020213
205-905,205,905,0.31740471925531466
205-906,205,906,0.31770092105846004
205-907,205,907,0.3180780846096347
205-908,205,908,0.3185362099088387
205-909,205,909,0.3190752969560755
205-910,205,910,0.3196953457513416
205-912,205,912,0.3211783285859653
205-913,205,913,0.32204126262532284
205-914,205,914,0.3229851584127026
205-915,205,915,0.32401001594812584
205-917,205,917,0.3263026162630567
205-918,205,918,0.32757035904257137
205-919,205,919,0.32891906357010825
205-920,205,920,0.3303487298456851
205-921,205,921,0.3318593578692912
205-922,205,922,0.33345094764091954
205-924,205,924,0.3368770124282783
205-925,205,925,0.33871148744400514
205-926,205,926,0.34062692420775775
205-928,205,928,0.34470068297935796
205-929,205,929,0.346859004987202
205-930,205,930,0.34909828874308957
206-901,206,901,0.3187986044340114
206-902,206,902,0.31866566486459647
206-903,206,903,0.3186136870432179
206-904,206,904,0.31864267096986154
206-905,206,905,0.318752616644538
206-906,206,906,0.31894352406724735
206-907,206,907,0.319215393237986
206-908,206,908,0.3195682241567539
206-909,206,909,0.32000201682355467
206-910,206,910,0.32051677123838473
206-911,206,911,0.3211124874012441
206-913,206,913,0.32254680497105426
206-915,206,915,0.32430496953298515
206-916,206,916,0.32530549443600165
206-917,206,917,0.32638698108704745
206-918,206,918,0.32754942948612253
206-919,206,919,0.32879283963322337
206-920,206,920,0.33011721152836415
206-921,206,921,0.33152254517153423
