Well,X,Y,NTG
201-901,201,901,0.24821084060088713
201-902,201,902,0.2524747248765898
201-903,201,903,0.23965664182781257
201-904,201,904,0.22487399802811586
201-905,201,905,0.23018283868915376
201-906,201,906,0.23368723825808882
201-908,201,908,0.1991367539076962
201-909,201,909,0.1990146531753374
201-910,201,910,0.30583400265392074
201-911,201,911,0.3058375677727481
201-912,201,912,0.3057510972244014
201-913,201,913,0.34006687344601844
201-915,201,915,0.3743116626434451
201-916,201,916,0.3796944324772354
201-917,201,917,0.4196395974533519
201-918,201,918,0.300207397670295
201-919,201,919,0.30065914861435483
201-920,201,920,0.30032180995950675
201-921,201,921,0.39497164224290343
201-922,201,922,0.41639478696490606
201-923,201,923,0.4334798128766829
201-925,201,925,0.42461427386585293
201-926,201,926,0.389352126582842
201-927,201,927,0.332614096750102
201-928,201,928,0.35067710885418935
201-929,201,929,0.32322268507458335
201-930,201,930,0.31398352662663714
202-901,202,901,0.24911747052309327
202-902,202,902,0.2567951257899742
202-903,202,903,0.23871938119037991
202-904,202,904,0.2208389218276879
202-905,202,905,0.23023641701497677
202-906,202,906,0.24070934512982775
202-907,202,907,0.19953440812917655
202-908,202,908,0.1989870486595008
202-909,202,909,0.1989710676256387
202-910,202,910,0.30584540482215017
202-911,202,911,0.30586281204806876
202-912,202,912,0.3057356073207602
202-913,202,913,0.3382599894829722
202-914,202,914,0.36645724605942925
202-915,202,915,0.37615171670699604
202-916,202,916,0.38101602481937563
202-917,202,917,0.42007039850813266
202-918,202,918,0.30030821634220883
202-919,202,919,0.30095984790910246
202-920,202,920,0.30041592157128877
202-921,202,921,0.3952751802696897
202-923,202,923,0.3858941340352459
202-924,202,924,0.42039144688236296
202-926,202,926,0.38902604564886667
202-927,202,927,0.33412629880241856
202-928,202,928,0.3507253923351173
202-929,202,929,0.3298178254193496
202-930,202,930,0.3126366717159848
203-901,203,901,0.24961813110107947
203-903,203,903,0.23705284599420637
203-904,203,904,0.21565824200250194
203-905,203,905,0.23034543622333128
203-907,203,907,0.19846774457995833
203-908,203,908,0.19884123115288588
203-909,203,909,0.19893037015926818
203-910,203,910,0.30585708213404783
203-911,203,911,0.3059029399838553
203-912,203,912,0.30570535890032624
203-913,203,913,0.33546079122604905
203-914,203,914,0.37038697403970755
203-915,203,915,0.3787010272510146
203-916,203,916,0.41718931838036316
203-917,203,917,0.420658951831747
203-918,203,918,0.3004050194361845
203-919,203,919,0.3013941819758492
203-920,203,920,0.30047545114522545
203-921,203,921,0.3941874158129355
203-922,203,922,0.4132004386563691
203-923,203,923,0.37529206538984305
203-924,203,924,0.40588290381543557
203-925,203,925,0.4181016046574652
203-926,203,926,0.38804282142876617
203-927,203,927,0.3366464471850713
203-928,203,928,0.35083861345384637
203-930,203,930,0.30621076150004223
204-901,204,901,0.2495013617080131
204-902,204,902,0.25637760339358207
204-903,204,903,0.23503633870447932
204-905,204,905,0.23048590654803203
204-906,204,906,0.24007191792262572
204-908,204,908,0.1987395226070186
204-909,204,909,0.2507475890575759
204-910,204,910,0.30586694679446735
204-911,204,911,0.3059716804951738
204-912,204,912,0.28960479869603967
204-913,204,913,0.2867658961238417
204-914,204,914,0.37413546760314176
204-915,204,915,0.3817989340176378
204-916,204,916,0.4173696673677881
204-917,204,917,0.42144556114572557
204-918,204,918,0.30047378129275887
204-919,204,919,0.3020766907840851
204-920,204,920,0.3004416530434499
204-921,204,921,0.391671574891097
204-922,204,922,0.4001442227625247
204-923,204,923,0.36080770877835244
204-924,204,924,0.39525529929512687
204-926,204,926,0.38629974127946304
204-927,204,927,0.34168609012379064
204-928,204,928,0.3510094816488413
204-929,204,929,0.31955821377731547
204-930,204,930,0.2656595499056172
205-901,205,901,0.24873606303175938
205-902,205,902,0.2512087514515136
205-903,205,903,0.23335778512143457
205-904,205,904,0.21432532691679657
205-905,205,905,0.23060287319105335
205-906,205,906,0.23245678639269332
205-907,205,907,0.19804077996422637
205-908,205,908,0.19869156402032986
205-909,205,909,0.25239488133074967
205-910,205,910,0.3058716302839437
205-912,205,912,0.2922377868902335
205-913,205,913,0.2862867804704975
205-914,205,914,0.3702468566994984
205-915,205,915,0.3912337777850183
205-917,205,917,0.42246008693731496
205-918,205,918,0.3004624063226866
205-919,205,919,0.30330516902147814
205-920,205,920,0.3002141378652298
205-921,205,921,0.3943882340851379
205-922,205,922,0.3903749906304593
205-924,205,924,0.3784011392009535
205-925,205,925,0.41718893519483674
205-926,205,926,0.3841924410531682
205-928,205,928,0.32743470566834937
205-929,205,929,0.29389161829276994
205-930,205,930,0.26529453811454895
206-901,206,901,0.24750436578823057
206-902,206,902,0.24717094943300094
206-903,206,903,0.23240569186883545
206-904,206,904,0.21817752202375884
206-905,206,905,0.23066724081563594
206-906,206,906,0.2280375621019132
206-907,206,907,0.19831528280157193
206-908,206,908,0.198682451124216
206-909,206,909,0.2539667392382657
206-910,206,910,0.3058679778880059
206-911,206,911,0.30595000720249454
206-913,206,913,0.2855832502268473
206-915,206,915,0.39221425809412275
206-916,206,916,0.4191203965624533
206-917,206,917,0.4236954321848114
206-918,206,918,0.30027735643063697
206-919,206,919,0.30617146386407895
