Well,X,Y,NTG
201-901,201,901,-2654453402211.5234
201-902,201,902,-2514239872239.0938
201-903,201,903,-2373417811949.3516
201-904,201,904,-2231985241962.1836
201-905,201,905,-2089940178608.371
201-906,201,906,-1947280633924.918
201-908,201,908,-1660110127220.5273
201-909,201,909,-1515595167763.0234
201-910,201,910,-1370457732093.4766
201-911,201,911,-1224695810710.457
201-912,201,912,-1078307389790.9023
201-913,201,913,-931290451185.4922
201-915,201,915,-635362926660.6211
201-916,201,916,-486448282769.40625
201-917,201,917,-336897005239.52734
201-918,201,918,-186707054220.6836
201-919,201,919,-35876385508.44922
201-920,201,920,115597049460.36719
201-921,201,921,267715303612.3789
201-922,201,922,420480434242.2422
201-923,201,923,573894503017.3281
201-925,201,925,882677723563.9883
201-926,201,926,1038051020575.582
201-927,201,927,1194081546221.7305
201-928,201,928,1350771384102.9531
201-929,201,929,1508122622220.3281
201-930,201,930,1666137352980.1406
202-901,202,901,-2639113478467.1406
202-902,202,902,-2498834483457.2305
202-903,202,903,-2357946748528.7695
202-904,202,904,-2216448293854.207
202-905,202,905,-2074337135316.4102
202-906,202,906,-1931611284504.004
202-907,202,907,-1788268748706.7344
202-908,202,908,-1644307530910.8164
202-909,202,909,-1499725629794.3125
202-910,202,910,-1354521039722.457
202-911,202,911,-1208691750743.0352
202-912,202,912,-1062235748581.7383
202-913,202,913,-915151014637.5078
202-914,202,914,-767435525977.9062
202-915,202,915,-619087255334.457
202-916,202,916,-470104171098.03125
202-917,202,917,-320484237314.15234
202-918,202,918,-170225413678.41406
202-919,202,919,-19325655531.789062
202-920,202,920,132217086143.9961
202-921,202,921,284404864731.09766
202-923,202,923,590723768015.2109
202-924,202,924,744859021337.7891
202-926,202,926,1055091485769.4297
202-927,202,927,1211192851812.7734
202-928,202,928,1367953751021.5586
202-929,202,929,1525376271856.2383
202-930,202,930,1683462507182.9453
203-901,203,901,-2623761290249.176
203-903,203,903,-2342463344689.375
203-904,203,904,-2200898967236.8477
203-905,203,905,-2058721675345.7578
203-907,203,907,-1772520388509.1328
203-908,203,908,-1628492402941.1836
203-909,203,909,-1483843521680.5703
203-910,203,910,-1338571738642.1367
203-911,203,911,-1192675043422.8164
203-912,203,912,-1046151421296.9648
203-913,203,913,-898998853211.707
203-914,203,914,-751215315782.3086
203-915,203,915,-602798781287.5312
203-916,203,916,-453747217664.9922
203-917,203,917,-304058588506.5
203-918,203,918,-153730853053.4414
203-919,203,919,-2761966192.1054688
203-920,203,920,148850121550.9297
203-921,203,921,301107464013.45703
203-922,203,922,454012119402.28906
203-923,203,923,607566150297.8867
203-924,203,924,761771623659.0039
203-925,203,925,916630610827.3555
203-926,203,926,1072145187532.2227
203-927,203,927,1228317433895.125
203-928,203,928,1385149434434.457
203-930,203,930,1700801058128.1992
204-901,204,901,-2608396824425.4805
204-902,204,902,-2467986785515.5703
204-903,204,903,-2326967587248.8594
204-905,204,905,-2043093785463.8398
204-906,204,906,-1900235207623.9297
204-908,204,908,-1612664730003.4922
204-909,204,909,-1467948830088.414
204-910,204,910,-1322609815493.8828
204-911,204,911,-1176645675365.879
204-912,204,912,-1030054394527.3438
204-913,204,913,-882833953473.5078
204-914,204,914,-734982328367.2617
204-915,204,915,-586497491034.5195
204-916,204,916,-437377408959.5664
204-917,204,917,-287620045280.40234
204-918,204,918,-137223358784.13672
204-919,204,919,13814696097.703125
204-920,204,920,165496169293.78125
204-921,204,921,317823115097.60547
204-922,204,922,470797592172.1797
204-923,204,923,624421663554.6328
204-924,204,924,778697396660.8789
204-926,204,926,1089212139630.1289
204-927,204,927,1245455306260.625
204-928,204,928,1402358448159.1836
204-929,204,929,1559923654705.254
204-930,204,930,1718153019684.918
205-901,205,901,-2593020067845.6914
205-902,205,902,-2452544450023.1055
205-903,205,903,-2311459463006.66
205-904,205,904,-2169763125626.0117
205-905,205,905,-2027453452419.8047
205-906,205,906,-1884528453631.004
205-907,205,907,-1740986135202.2578
205-908,205,908,-1596824498771.2656
205-909,205,909,-1452041541666.125
205-910,205,910,-1306635256900.6875
205-912,205,912,-1013944654845.2422
205-913,205,913,-866656301969.9258
205-914,205,914,-718736550254.4062
205-915,205,915,-570183371071.6562
205-917,205,917,-271168594081.22266
205-918,205,918,-120702917290.39062
205-919,205,919,30404344943.25
205-920,205,920,182155243003.6836
205-921,205,921,334551831640.21875
205-922,205,922,487596169972.1289
205-924,205,924,795636354076.8789
205-925,205,925,950636339979.8945
205-926,205,926,1106292355847.9297
205-928,205,928,1419580806031.9375
205-929,205,929,1577217415623.5625
205-930,205,930,1735518405740.8047
206-901,206,901,-2577631007341.1836
206-902,206,902,-2437089772597.3477
206-903,206,903,-2295938958743.9375
206-904,206,904,-2154176584162.8555
206-905,206,905,-2011800662944.496
206-906,206,906,-1868809204883.1133
206-907,206,907,-1725200215472.1719
206-908,206,908,-1580971695899.6836
206-909,206,909,-1436121643043.6094
206-910,206,910,-1290648049467.164
206-911,206,911,-1144548903414.211
206-913,206,913,-850465885229.5469
206-915,206,915,-553856407876.7227
206-916,206,916,-404599171596.3047
206-917,206,917,-254704221335.82812
206-918,206,918,-104169514973.58203
206-919,206,919,47006993968.66797
206-920,206,920,198827356330.3086
206-921,206,921,351293627316.52734
206-922,206,922,504407866502.95703
206-923,206,923,658172137840.3164
206-924,206,924,812588509659.0625
206-925,206,925,967659054674.0195
206-926,206,926,1123385849989.0312
206-927,206,927,1279770977101.6094
206-928,206,928,1436816521907.5625
206-930,206,930,1752897230202.246
207-901,207,901,-2562229629725.082
207-902,207,902,-2421622740026.301
207-903,207,903,-2280406061223.5586
207-904,207,904,-2138577611250.9023
207-905,207,905,-1996135403750.4219
207-906,207,906,-1853077448067.5664
207-908,207,908,-1565106308025.5469
207-909,207,909,-1420189120832.379
207-911,207,911,-1128481472659.6484
207-913,207,913,-834262689762.5
207-914,207,914,-686206567929.5586
207-915,207,915,-537516587909.0039
207-916,207,916,-388190715824.64453
207-917,207,917,-238226913452.57812
207-918,207,918,-87623138216.5664
207-920,207,920,215512522941.8828
207-921,207,921,368048515820.33984
207-922,207,922,521232695484.0742
207-923,207,923,675067126340.7188
