Well,X,Y,NTG
201-901,201,901,0.26163973798700496
201-902,201,902,0.2570491728136065
201-903,201,903,0.27753550898025064
201-904,201,904,0.24963803965323889
201-905,201,905,0.23228716536952193
201-906,201,906,0.24165179570654288
201-908,201,908,0.2057912067234624
201-909,201,909,0.20405466640741673
201-910,201,910,0.20642337019561405
201-911,201,911,0.2834782843339003
201-912,201,912,0.3155412172899771
201-913,201,913,0.32214823346910065
201-915,201,915,0.35491093588922307
201-916,201,916,0.35491093588922307
201-917,201,917,0.33670799163524334
201-918,201,918,0.3366197320059835
201-919,201,919,0.3325846476715347
201-920,201,920,0.3341062249724653
201-921,201,921,0.3304950921213234
201-922,201,922,0.38934844704483107
201-923,201,923,0.41372436906501603
201-925,201,925,0.3855889613555007
201-926,201,926,0.4036527404443952
201-927,201,927,0.4036527404443952
201-928,201,928,0.4036527404443952
201-929,201,929,0.39969625536256864
201-930,201,930,0.35310649701227165
202-901,202,901,0.26163973798700496
202-902,202,902,0.2570491728136065
202-903,202,903,0.27753550898025064
202-904,202,904,0.2514108785744405
202-905,202,905,0.23406000429072354
202-906,202,906,0.24131585076540496
202-907,202,907,0.21200872203367577
202-908,202,908,0.20756404564466402
202-909,202,909,0.2063043429619809
202-910,202,910,0.20867304675017823
202-911,202,911,0.2834782843339003
202-912,202,912,0.31308865721678064
202-913,202,913,0.34488368293813404
202-914,202,914,0.3543097042401232
202-915,202,915,0.35491093588922307
202-916,202,916,0.33670799163524334
202-917,202,917,0.3366197320059835
202-918,202,918,0.3366197320059835
202-919,202,919,0.3341062249724653
202-920,202,920,0.36505241058583776
202-921,202,921,0.38934844704483107
202-923,202,923,0.4039830362807528
202-924,202,924,0.38570566126791567
202-926,202,926,0.40048921601879184
202-927,202,927,0.40048921601879184
202-928,202,928,0.396360390741055
202-929,202,929,0.3668729388777232
202-930,202,930,0.34809046757844314
203-901,203,901,0.2634125769082066
203-903,203,903,0.27930834790145226
203-904,203,904,0.24930209471210102
203-905,203,905,0.231951220428384
203-907,203,907,0.21160055487272003
203-908,203,908,0.20470331841051187
203-909,203,909,0.2029667780944662
203-910,203,910,0.22139188466059087
203-911,203,911,0.31220365242246234
203-912,203,912,0.33739166196469217
203-913,203,913,0.35038839883973977
203-914,203,914,0.3534246994458049
203-915,203,915,0.33582298684092504
203-916,203,916,0.3357347272116652
203-917,203,917,0.3357347272116652
203-918,203,918,0.324410040005922
203-919,203,919,0.3738330410136809
203-920,203,920,0.40236042891595364
203-921,203,921,0.4187832989295586
203-922,203,922,0.41486623139377127
203-923,203,923,0.36817389749545854
203-924,203,924,0.39887503992452095
203-925,203,925,0.40048921601879184
203-926,203,926,0.40137988451678286
203-927,203,927,0.397251059239046
203-928,203,928,0.3956290810751129
203-930,203,930,0.33085302605333766
204-901,204,901,0.24542111955939636
204-902,204,902,0.24083055438599793
204-903,204,903,0.2567555466171061
204-905,204,905,0.20574594725795545
204-906,204,906,0.21511057759497618
204-908,204,908,0.1982812939808277
204-909,204,909,0.21260115644270938
204-910,204,910,0.24915017493922528
204-911,204,911,0.3348765369971443
204-912,204,912,0.34378138266061625
204-913,204,913,0.35038839883973977
204-914,204,914,0.3352217551918252
204-915,204,915,0.3357347272116652
204-916,204,916,0.3357347272116652
204-917,204,917,0.34788003684093693
204-918,204,918,0.38201959123021745
204-919,204,919,0.40236042891595364
204-920,204,920,0.4110697445749573
204-921,204,921,0.4124906006105534
204-922,204,922,0.3657982667122407
204-923,204,923,0.38479775995801985
204-924,204,924,0.4010468602409119
204-926,204,926,0.39090903811493577
204-927,204,927,0.38851164603885185
204-928,204,928,0.3464053403591695
204-929,204,929,0.33154201165688996
204-930,204,930,0.3229755158715163
205-901,205,901,0.23949037189658873
205-902,205,902,0.23072719486191343
205-903,205,903,0.2512135310285576
205-904,205,904,0.2256119465092203
205-905,205,905,0.20574594725795545
205-906,205,906,0.21511057759497618
205-907,205,907,0.20272597036983944
205-908,205,908,0.1982812939808277
205-909,205,909,0.23312278161692032
205-910,205,910,0.2633060126572418
205-912,205,912,0.32682928443806186
205-913,205,913,0.3152333563632057
205-914,205,914,0.3181813973400109
205-915,205,915,0.3092504105601407
205-917,205,917,0.3847742409603882
205-918,205,918,0.3847742409603882
205-919,205,919,0.39092429502010395
205-920,205,920,0.3870072274843166
205-921,205,921,0.34094591460090634
205-922,205,922,0.3646523104031665
205-924,205,924,0.3644050653193823
205-925,205,925,0.36741123892899574
205-926,205,926,0.36741123892899574
205-928,205,928,0.3253937894964646
205-929,205,929,0.3026842577305849
205-930,205,930,0.28704813285114755
206-901,206,901,0.23531776003531185
206-902,206,902,0.23072719486191343
206-903,206,903,0.2512135310285576
206-904,206,904,0.2256119465092203
206-905,206,905,0.20574594725795545
206-906,206,906,0.21511057759497618
206-907,206,907,0.19952770036983944
206-908,206,908,0.2050921046670571
206-909,206,909,0.2609373088690445
206-910,206,910,0.25837652204945194
206-911,206,911,0.32682928443806186
206-913,206,913,0.3222623772680188
206-915,206,915,0.3397592196135596
206-916,206,916,0.38625006369554904
206-917,206,917,0.3831762102010416
206-918,206,918,0.3831762102010416
206-919,206,919,0.38393337398980915
206-920,206,920,0.34602308164015017
206-921,206,921,0.34148386918619206
206-922,206,922,0.3460692889862688
206-923,206,923,0.3531284361009557
206-924,206,924,0.36084256653400004
206-925,206,925,0.3567386470171278
206-926,206,926,0.35180677639898955
206-927,206,927,0.314369644786767
206-928,206,928,0.3003764234866778
206-930,206,930,0.2776378018229195
207-901,207,901,0.23531776003531185
207-902,207,902,0.23072719486191343
207-903,207,903,0.2535094158362321
207-904,207,904,0.2256119465092203
207-905,207,905,0.20416282122588805
207-906,207,906,0.21352745156290878
207-908,207,908,0.26109072315302273
207-909,207,909,0.2810273103552819
207-911,207,911,0.32264923927399664
207-913,207,913,0.32801458116458276
207-914,207,914,0.35542680379083286
207-915,207,915,0.37662138020080665
207-916,207,916,0.38133864089399805
207-917,207,917,0.38133864089399805
207-918,207,918,0.38260817265561875
207-920,207,920,0.333282229312735
207-921,207,921,0.3432055726841952
207-922,207,922,0.3393013235236028
207-923,207,923,0.3458445405298009
207-924,207,924,0.3468519176854635
207-925,207,925,0.34866076469649526
207-926,207,926,0.31122363308427264
207-928,207,928,0.28159428690474614
207-929,207,929,0.2776378018229195
208-901,208,901,0.23836759280450187
208-902,208,902,0.23541978680554057
208-903,208,903,0.25388885729812244
208-904,208,904,0.2259913879711107
208-905,208,905,0.2195373024839873
208-906,208,906,0.21869219638364282
208-907,208,907,0.2744118030757707
208-908,208,908,0.2752919384440589
208-909,208,909,0.28161225896389713
208-910,208,910,0.2657780184981147
208-911,208,911,0.30855817485294196
208-912,208,912,0.32140756498545925
208-913,208,913,0.3523905031847678
208-914,208,914,0.3760201485517068
208-916,208,916,0.37781592453240254
208-917,208,917,0.3795103717565248
208-918,208,918,0.3343096975774001
208-920,208,920,0.32857448513316423
208-921,208,921,0.33224217640891596
208-922,208,922,0.3393013235236028
208-923,208,923,0.3458445405298009
208-924,208,924,0.3468519176854635
208-926,208,926,0.31122363308427264
208-927,208,927,0.28159428690474614
208-928,208,928,0.28159428690474614
208-929,208,929,0.2776378018229195
208-930,208,930,0.2776378018229195
209-901,209,901,0.2464260443485885
209-902,209,902,0.24727447917518994
209-903,209,903,0.27590087140244407
209-904,209,904,0.24800340207543237
209-905,209,905,0.23006095008273555
209-906,209,906,0.28888563427472175
209-907,209,907,0.28131502026399563
209-908,209,908,0.27352397929926137
209-909,209,909,0.24550562309740817
209-910,209,910,0.27425088597570507
209-911,209,911,0.3485592190351508
209-912,209,912,0.3485592190351508
209-913,209,913,0.37297573600982
209-914,209,914,0.3776314964099826
209-915,209,915,0.3782327280590825
209-917,209,917,0.3513637515396156
209-918,209,918,0.3485196080957836
209-919,209,919,0.3306877136202953
209-920,209,920,0.34236977660111784
209-921,209,921,0.35121208093506345
209-922,209,922,0.35610002985857864
209-923,209,923,0.35610002985857864
209-924,209,924,0.3571074070142412
209-925,209,925,0.32147912241305043
209-926,209,926,0.2918497762335239
209-927,209,927,0.2918497762335239
209-928,209,928,0.2918497762335239
209-929,209,929,0.29361344252017557
209-930,209,930,0.31562763229496116
210-901,210,901,0.2617603767315396
210-902,210,902,0.2646567419855138
210-903,210,903,0.27994110273777745
210-904,210,904,0.26631368733588884
210-905,210,905,0.23942599317536892
210-906,210,906,0.2929258656100551
210-907,210,907,0.2638059427696268
210-908,210,908,0.2579423638184564
210-909,210,909,0.27738002436039794
210-910,210,910,0.30631702989058096
210-911,210,911,0.35007589064413114
210-912,210,912,0.36757143450591107
210-913,210,913,0.3805659436738577
210-915,210,915,0.3855204301219077
210-917,210,917,0.38169724707184643
210-918,210,918,0.3660159028743139
210-919,210,919,0.3706950636176788
210-920,210,920,0.37647891964129804
210-921,210,921,0.3782620768605568
210-922,210,922,0.3782620768605568
210-924,210,924,0.3423963833724002
210-925,210,925,0.3402019584074584
210-926,210,926,0.315535516803494
210-927,210,927,0.315535516803494
210-928,210,928,0.315535516803494
210-929,210,929,0.3368394943196198
210-930,210,930,0.332069527928461
211-901,211,901,0.27388530972130004
211-902,211,902,0.2746195563052015
211-903,211,903,0.3069723005683596
211-904,211,904,0.27907483124134796
211-905,211,905,0.2996247735105955
211-906,211,906,0.2736478362679325
211-907,211,907,0.2971454134844183
211-908,211,908,0.31201217579920265
211-909,211,909,0.315251859170286
211-910,211,910,0.3372538830712016
211-911,211,911,0.3839805617277607
211-912,211,912,0.3839805617277607
211-913,211,913,0.39138777106428824
211-915,211,915,0.39243838185458974
211-916,211,916,0.37549284711289477
211-917,211,917,0.3954141067052253
211-918,211,918,0.36474061178324624
211-920,211,920,0.37647891964129804
211-921,211,921,0.3782620768605568
211-922,211,922,0.3782620768605568
211-923,211,923,0.3782620768605568
211-925,211,925,0.315535516803494
211-926,211,926,0.315535516803494
211-929,211,929,0.332069527928461
211-930,211,930,0.3487083480615381
212-901,212,901,0.2873332628216713
212-902,212,902,0.291687939816096
212-903,212,903,0.3069723005683596
212-906,212,906,0.29629980564699504
212-907,212,907,0.30050678015584364
212-908,212,908,0.3002146213019277
212-909,212,909,0.315973624847662
212-910,212,910,0.3183423286358593
212-911,212,911,0.3621011893894095
212-912,212,912,0.36290138254681353
212-913,212,913,0.3695083987259371
212-914,212,914,0.3556016698801589
212-915,212,915,0.3520715709616703
212-916,212,916,0.37199283055400084
212-917,212,917,0.34131933563202177
212-918,212,918,0.35003358070983537
212-919,212,919,0.3530576434900735
212-920,212,920,0.3530576434900735
212-922,212,922,0.3416813665830933
212-923,212,923,0.30480829593927417
212-924,212,924,0.27618632691541023
212-925,212,925,0.2921142406522695
212-926,212,926,0.32414149019381894
212-927,212,927,0.3225792488792131
212-928,212,928,0.3126047368590631
212-929,212,929,0.3252870719103136
212-930,212,930,0.315831114769599
213-901,213,901,0.27734672597863225
213-902,213,902,0.2727561608052338
213-903,213,903,0.3073818538009369
213-904,213,904,0.28798165332994624
213-905,213,905,0.3596509369343327
213-906,213,906,0.31728147664642287
213-907,213,907,0.3074028786012651
213-908,213,908,0.31771016516370765
213-909,213,909,0.315973624847662
213-910,213,910,0.3183423286358593
213-911,213,911,0.36290138254681353
213-912,213,912,0.3587725572690767
213-913,213,913,0.35256536927409377
213-914,213,914,0.35147033931257043
213-915,213,915,0.37199283055400084
213-916,213,916,0.34131933563202177
213-917,213,917,0.35003358070983537
213-918,213,918,0.3431632015114694
213-919,213,919,0.3530576434900735
213-920,213,920,0.3530576434900735
213-921,213,921,0.3416813665830933
213-922,213,922,0.32173826223032914
213-923,213,923,0.28420926648427475
213-924,213,924,0.3033202768437761
213-925,213,925,0.32414149019381894
213-926,213,926,0.3225792488792131
213-927,213,927,0.3225792488792131
213-928,213,928,0.3173979657574086
213-929,213,929,0.315831114769599
213-930,213,930,0.3155433562943933
214-901,214,901,0.2817707425306795
214-902,214,902,0.27319705921391735
214-903,214,903,0.3218697553796532
214-905,214,905,0.3721781616402492
214-906,214,906,0.33122573545428996
214-907,214,907,0.324898422463045
214-908,214,908,0.31771016516370765
214-909,214,909,0.315973624847662
214-910,214,910,0.31208763229107345
214-911,214,911,0.34595835309497025
214-912,214,912,0.34595835309497025
214-913,214,913,0.3325391230692651
214-914,214,914,0.371391598904901
214-915,214,915,0.37199283055400084
214-916,214,916,0.34131933563202177
214-917,214,917,0.35003358070983537
214-919,214,919,0.3530576434900735
214-920,214,920,0.3530576434900735
214-921,214,921,0.3416813665830933
214-922,214,922,0.28420926648427475
214-923,214,923,0.30231289968811353
214-924,214,924,0.3016982667726897
214-925,214,925,0.3085112639484365
214-926,214,926,0.3085112639484365
214-927,214,927,0.29693902394951294
214-928,214,928,0.32006469844454094
214-929,214,929,0.3222930184733995
214-930,214,930,0.32167365259420627
215-901,215,901,0.29589285787732833
215-902,215,902,0.29808227753690963
215-903,215,903,0.3714057657196209
215-904,215,904,0.37654851176722764
215-905,215,905,0.3861224204481163
215-906,215,906,0.3556173777614913
215-907,215,907,0.324898422463045
215-908,215,908,0.31771016516370765
215-909,215,909,0.3008728425319479
215-911,215,911,0.34595835309497025
215-912,215,912,0.32593210689014157
215-914,215,914,0.371391598904901
215-915,215,915,0.33969732556093535
215-917,215,917,0.3430247428937456
215-918,215,918,0.3430247428937456
215-919,215,919,0.33898965855929686
215-920,215,920,0.33898965855929686
215-922,215,922,0.3074832978944124
215-923,215,923,0.3090625618671197
215-924,215,924,0.3108414271072969
215-925,215,925,0.3316430566406272
215-926,215,926,0.3236499764861219
215-927,215,927,0.31801744982633473
215-929,215,929,0.32245690675684774
216-901,216,901,0.32704876473049305
216-903,216,903,0.3952949169072964
216-904,216,904,0.39049277057509474
216-905,216,905,0.41051406275531765
216-906,216,906,0.3556173777614913
216-907,216,907,0.3232764123919586
216-909,216,909,0.2857628036224462
216-910,216,910,0.29028178808989935
216-911,216,911,0.31765882967259995
216-912,216,912,0.3166548339530486
216-913,216,913,0.3564375940473151
216-914,216,914,0.33034305722929447
216-915,216,915,0.34345900405308344
216-916,216,916,0.36427665116286617
216-918,216,918,0.36941275917869604
216-919,216,919,0.3689568346886657
216-921,216,921,0.33405874632327337
216-922,216,922,0.3171061479732018
216-923,216,923,0.3171061479732018
216-924,216,924,0.3165512838142585
216-925,216,925,0.3008808611002991
216-926,216,926,0.28915271553350846
216-928,216,928,0.2928927460883924
216-929,216,929,0.30232686823201627
216-930,216,930,0.2974138218580687
217-901,217,901,0.32002412823014625
217-902,217,902,0.3375135581366042
217-903,217,903,0.4027706237817714
217-904,217,904,0.410365815952915
217-905,217,905,0.410365815952915
217-906,217,906,0.3495846357220752
217-907,217,907,0.2873798773041117
217-908,217,908,0.29196377020015557
217-909,217,909,0.2902272298841099
217-910,217,910,0.30171058497719955
217-911,217,911,0.3433657864896576
217-912,217,912,0.37654153040480054
217-913,217,913,0.38314854658392405
217-914,217,914,0.358540334280371
217-915,217,915,0.3659327719084275
217-916,217,916,0.37299191902311435
217-917,217,917,0.37299191902311435
217-918,217,918,0.37299191902311435
217-919,217,919,0.36075102704769124
217-920,217,920,0.31891505182831004
217-921,217,921,0.2905861765712583
217-923,217,923,0.28467105771255913
217-924,217,924,0.28282149948820456
217-925,217,925,0.2710642183574211
217-927,217,927,0.2845455099167548
217-928,217,928,0.3013703069398953
217-929,217,929,0.2974138218580687
217-930,217,930,0.2974138218580687
218-901,218,901,0.35245028370038006
