Well,X,Y,NTG
201-901,201,901,0.29268999999999995
201-902,201,902,0.29268999999999995
201-903,201,903,0.33402
201-904,201,904,0.23267000000000002
201-905,201,905,0.23585000000000003
201-906,201,906,0.24504
201-908,201,908,0.21561000000000002
201-909,201,909,0.24047000000000002
201-910,201,910,0.25665000000000004
201-911,201,911,0.36741999999999997
201-912,201,912,0.36741999999999997
201-913,201,913,0.37312
201-915,201,915,0.37312
201-916,201,916,0.38107
201-917,201,917,0.38107
201-918,201,918,0.38107
201-919,201,919,0.37128
201-920,201,920,0.39398999999999995
201-921,201,921,0.40987999999999997
201-922,201,922,0.42869
201-923,201,923,0.43266
201-925,201,925,0.41673
201-926,201,926,0.41673
201-927,201,927,0.40952
201-928,201,928,0.3877
201-929,201,929,0.38654
201-930,201,930,0.3727
202-901,202,901,0.29268999999999995
202-902,202,902,0.29268999999999995
202-903,202,903,0.33402
202-904,202,904,0.23267000000000002
202-905,202,905,0.23585000000000003
202-906,202,906,0.24504
202-907,202,907,0.21561000000000002
202-908,202,908,0.21561000000000002
202-909,202,909,0.24047000000000002
202-910,202,910,0.25665000000000004
202-911,202,911,0.3665
202-912,202,912,0.3665
202-913,202,913,0.3722
202-914,202,914,0.3722
202-915,202,915,0.3722
202-916,202,916,0.38015000000000004
202-917,202,917,0.38015000000000004
202-918,202,918,0.38015000000000004
202-919,202,919,0.37036
202-920,202,920,0.38947
202-921,202,921,0.40443999999999997
202-923,202,923,0.4263
202-924,202,924,0.42722
202-926,202,926,0.4122100000000001
202-927,202,927,0.40499999999999997
202-928,202,928,0.38678
202-929,202,929,0.38561999999999996
202-930,202,930,0.37178
203-901,203,901,0.29268999999999995
203-903,203,903,0.33402
203-904,203,904,0.23267000000000002
203-905,203,905,0.23585000000000003
203-907,203,907,0.21465
203-908,203,908,0.21465
203-909,203,909,0.23983000000000004
203-910,203,910,0.25633000000000006
203-911,203,911,0.34928
203-912,203,912,0.34928
203-913,203,913,0.35498
203-914,203,914,0.36975
203-915,203,915,0.36975
203-916,203,916,0.37770000000000004
203-917,203,917,0.37770000000000004
203-918,203,918,0.37770000000000004
203-919,203,919,0.36791000000000007
203-920,203,920,0.38457
203-921,203,921,0.3909600000000001
203-922,203,922,0.40027000000000007
203-923,203,923,0.3983400000000001
203-924,203,924,0.3994700000000001
203-925,203,925,0.39074000000000003
203-926,203,926,0.39348
203-927,203,927,0.38627
203-928,203,928,0.36805000000000004
203-930,203,930,0.34658000000000005
204-901,204,901,0.28733
204-902,204,902,0.28733
204-903,204,903,0.32865999999999995
204-905,204,905,0.22517
