,Well,X,Y,NTG
0,201-901,201,901,0.2905400000000001
1,201-902,201,902,0.2905400000000001
2,201-903,201,903,0.3285480000000001
3,201-904,201,904,0.277164
4,201-905,201,905,0.256004
5,201-906,201,906,0.2547639999999999
6,201-908,201,908,0.25059600000000004
7,201-909,201,909,0.27130800000000005
8,201-910,201,910,0.3182240000000001
9,201-911,201,911,0.35842799999999997
10,201-912,201,912,0.35043599999999997
11,201-913,201,913,0.368568
12,201-915,201,915,0.38515600000000005
13,201-916,201,916,0.3838920000000001
14,201-917,201,917,0.3838920000000001
15,201-918,201,918,0.38797600000000004
16,201-919,201,919,0.4198120000000001
17,201-920,201,920,0.4234920000000001
18,201-921,201,921,0.4234920000000001
19,201-922,201,922,0.4234920000000001
20,201-923,201,923,0.4250800000000001
21,201-925,201,925,0.40771200000000013
22,201-926,201,926,0.3970040000000001
23,201-927,201,927,0.39841600000000005
24,201-928,201,928,0.38704000000000005
25,201-929,201,929,0.3793160000000001
26,201-930,201,930,0.36806400000000006
27,202-901,202,901,0.2905400000000001
28,202-902,202,902,0.2905400000000001
29,202-903,202,903,0.3285480000000001
30,202-904,202,904,0.277164
31,202-905,202,905,0.256004
32,202-906,202,906,0.2547639999999999
33,202-907,202,907,0.22585999999999995
34,202-908,202,908,0.25059600000000004
35,202-909,202,909,0.27130800000000005
36,202-910,202,910,0.3178560000000001
37,202-911,202,911,0.35662
38,202-912,202,912,0.348628
39,202-913,202,913,0.36676
40,202-914,202,914,0.384368
41,202-915,202,915,0.384368
42,202-916,202,916,0.382136
43,202-917,202,917,0.382136
44,202-918,202,918,0.38622
45,202-919,202,919,0.41548
46,202-920,202,920,0.42140000000000005
47,202-921,202,921,0.42140000000000005
48,202-923,202,923,0.42032800000000003
49,202-924,202,924,0.4203920000000001
50,202-926,202,926,0.3948280000000001
51,202-927,202,927,0.3962400000000001
52,202-928,202,928,0.38486400000000004
53,202-929,202,929,0.37858
54,202-930,202,930,0.367328
55,203-901,203,901,0.28175200000000006
56,203-903,203,903,0.3197600000000001
57,203-904,203,904,0.264292
58,203-905,203,905,0.24313200000000001
59,203-907,203,907,0.21315199999999998
60,203-908,203,908,0.24214000000000002
61,203-909,203,909,0.262764
62,203-910,203,910,0.30763600000000013
63,203-911,203,911,0.34340399999999993
64,203-912,203,912,0.3346039999999999
65,203-913,203,913,0.3523199999999999
66,203-914,203,914,0.367656
67,203-915,203,915,0.368512
68,203-916,203,916,0.36547200000000013
69,203-917,203,917,0.36547200000000013
70,203-918,203,918,0.370452
71,203-919,203,919,0.38616000000000006
72,203-920,203,920,0.391332
73,203-921,203,921,0.394168
74,203-922,203,922,0.394168
75,203-923,203,923,0.39309600000000006
76,203-924,203,924,0.39276000000000005
77,203-925,203,925,0.38580800000000004
78,203-926,203,926,0.37656400000000007
79,203-927,203,927,0.379272
80,203-928,203,928,0.36516
81,203-930,203,930,0.341524
82,204-901,204,901,0.277464
83,204-902,204,902,0.277464
84,204-903,204,903,0.3154720000000001
85,204-905,204,905,0.23161600000000004
