Well,X,Y,NTG
201-901,201,901,7.369125420308933
201-902,201,902,4.991423473275972
201-903,201,903,2.3190279562631986
201-904,201,904,0.1439117286339524
201-905,201,905,-1.1018352698929448
201-906,201,906,-1.853012676938988
201-908,201,908,-1.6502136357861446
201-909,201,909,-1.283528784218447
201-910,201,910,-1.0737219117600034
201-911,201,911,-0.7327089944585623
201-912,201,912,-0.10304009366689115
201-913,201,913,0.727024322650152
201-915,201,915,1.3536406334109188
201-916,201,916,1.2733508890122494
201-917,201,917,1.113513482305052
201-918,201,918,0.9091563988495182
201-919,201,919,0.6901832442554223
201-920,201,920,0.4928429445741358
201-921,201,921,0.3803987324163245
201-922,201,922,0.43996593294440345
201-923,201,923,0.6066103713455959
201-925,201,925,0.8284381850651812
201-926,201,926,1.043345683766404
201-927,201,927,1.32827155879545
201-928,201,928,1.628064794979025
201-929,201,929,1.9025166589872242
201-930,201,930,2.183180448685789
202-901,202,901,6.907734871447815
202-902,202,902,4.44452330995955
202-903,202,903,1.264301036748634
202-904,202,904,-0.7851245483170715
202-905,202,905,-0.704551855794648
202-906,202,906,0.3038901134624439
202-907,202,907,0.8043783827642983
202-908,202,908,0.7269256928865389
202-909,202,909,0.12354285753815475
202-910,202,910,-0.577599499173175
202-911,202,911,-0.912738943351485
202-912,202,912,-0.6801593217620052
202-913,202,913,-0.05114682654482294
202-914,202,914,0.5173931294382896
202-915,202,915,0.7792860575149803
202-916,202,916,0.8386809339934871
202-917,202,917,0.7726875751801003
202-918,202,918,0.6279894140865281
202-919,202,919,0.4447847401739864
202-920,202,920,0.258678344657028
202-921,202,921,0.11536513135456516
202-923,202,923,0.272632900146732
202-924,202,924,0.3099576132989341
202-926,202,926,0.5998557836639975
202-927,202,927,0.8934258194287281
202-928,202,928,1.2053985903355056
202-929,202,929,1.4385499594700377
202-930,202,930,1.6849967131390144
203-901,203,901,5.675971334145288
203-903,203,903,-0.9503538003413041
203-904,203,904,-2.9703408825557744
203-905,203,905,-0.9717835343311663
203-907,203,907,4.11066514047161
203-908,203,908,3.2863337056602404
203-909,203,909,1.490634771645773
203-910,203,910,-0.27169566568966275
203-911,203,911,-1.3600311872336306
203-912,203,912,-1.5066981413731355
203-913,203,913,-1.0006692923274159
203-914,203,914,-0.33679184762189607
203-915,203,915,0.158553637576631
203-916,203,916,0.4160111186549784
203-917,203,917,0.4812274789331923
203-918,203,918,0.42520455135303337
203-919,203,919,0.31996036260841265
203-920,203,920,0.22107300987238432
203-921,203,921,0.1721637062839818
203-922,203,922,0.1962309485215883
203-923,203,923,0.18151889625028161
203-924,203,924,0.09275463792658911
203-925,203,925,0.08742631339981699
203-926,203,926,0.20329382895067738
203-927,203,927,0.42887977909373376
203-928,203,928,0.7244816214519574
203-930,203,930,1.1405203981940417
204-901,204,901,3.437802410045606
204-902,204,902,0.27943147018754644
204-903,204,903,-3.705136334681356
204-905,204,905,-2.268234457702306
204-906,204,906,2.6244416968490896
204-908,204,908,4.4173210278772785
204-909,204,909,2.1353047210933482
204-910,204,910,-0.31254669411276836
204-911,204,911,-1.9763392154793564
204-912,204,912,-2.2608464211714363
204-913,204,913,-1.6882132088829849
204-914,204,914,-0.8628418838683274
204-915,204,915,-0.18660001284598593
204-916,204,916,0.1985390898374817
204-917,204,917,0.33522862357062877
204-918,204,918,0.3271995494399107
204-919,204,919,0.2920363398242216
204-920,204,920,0.30427948085252865
204-921,204,921,0.3848535328008893
204-922,204,922,0.4677634490235505
204-923,204,923,0.3776680276536126
204-924,204,924,0.1427651799801879
204-926,204,926,-0.0465147728558577
204-927,204,927,-0.03900941293147753
204-928,204,928,0.049675561560206916
204-929,204,929,0.2314241514400237
204-930,204,930,0.5830654648314635
205-901,205,901,1.2933947454762347
205-902,205,902,-1.782731312602209
205-903,205,903,-4.821863913506377
205-904,205,904,-5.840891588973591
205-905,205,905,-3.424876800637435
205-906,205,906,0.4657933437558768
205-907,205,907,3.180946816776782
205-908,205,908,3.450567641339603
205-909,205,909,2.1280064269459444
205-910,205,910,-0.1233153867840997
205-912,205,912,-2.363498839998158
205-913,205,913,-1.6775195257054065
205-914,205,914,-0.7271020256107477
205-915,205,915,0.01846607110212517
205-917,205,917,0.3893210148049775
205-918,205,918,0.31576674871541854
205-919,205,919,0.2931438696408577
205-920,205,920,0.3819552594792981
205-921,205,921,0.5644663633777327
205-922,205,922,0.7610529078443733
205-924,205,924,0.5270560220997709
205-925,205,925,0.34313177446176724
205-926,205,926,0.06529303760584071
205-928,205,928,-0.46202626149238313
205-929,205,929,-0.31428628735955044
205-930,205,930,0.16464967058834645
206-901,206,901,-0.09168397851090049
206-902,206,902,-2.6653161698847043
206-903,206,903,-4.808277989385829
206-904,206,904,-5.493157043802398
206-905,206,905,-4.278390609681878
206-906,206,906,-2.0565305633571143
206-907,206,907,0.12811799123306855
206-908,206,908,1.760471378006173
206-909,206,909,2.208465003666049
206-910,206,910,1.203387730678287
206-911,206,911,-0.5281300613958138
206-913,206,913,-0.5937625312823229
206-915,206,915,0.8998431602677215
206-916,206,916,0.8756519202445361
206-917,206,917,0.5753291044447906
206-918,206,918,0.31585224935651013
206-919,206,919,0.2603844548629013
206-920,206,920,0.3849575431753465
206-921,206,921,0.5828669426474562
206-922,206,922,0.7731780487022206
206-923,206,923,0.8764832087072136
206-924,206,924,0.9251601560667382
206-925,206,925,0.9217091852742669
206-926,206,926,0.7194228791927344
206-927,206,927,0.12979953465463723
206-928,206,928,-0.5043300225988219
206-930,206,930,0.08828009792114244
207-901,207,901,-0.7386759274911583
207-902,207,902,-2.761367061401984
207-903,207,903,-4.324422158167351
207-904,207,904,-4.9549050212459065
207-905,207,905,-4.542135919314546
207-906,207,906,-3.492345508896335
207-908,207,908,0.5709800689128315
207-909,207,909,2.360427441954471
207-911,207,911,1.5386498506140924
207-913,207,913,1.236410875218553
207-914,207,914,1.9609627192658081
207-915,207,915,2.0781301833417274
207-916,207,916,1.3728981845132466
207-917,207,917,0.6497206270066727
207-918,207,918,0.23437717549165882
207-920,207,920,0.3656493425213512
207-921,207,921,0.49859280851819676
207-922,207,922,0.5939683867641179
207-923,207,923,0.7664203549463764
207-924,207,924,1.0614829302415387
207-925,207,925,1.3098527938226425
207-926,207,926,1.3713772888297626
207-928,207,928,0.17588389966056184
207-929,207,929,0.037220894432607565
208-901,208,901,-0.8502411799893252
208-902,208,902,-2.370950812545402
208-903,208,903,-3.501071144151183
208-904,208,904,-4.0313689893677065
208-905,208,905,-3.920141012313991
208-906,208,906,-3.237941665997596
208-907,208,907,-1.8422190659874786
208-908,208,908,0.20204081458166456
208-909,208,909,1.9958959791915163
208-910,208,910,2.729794439751913
208-911,208,911,2.4803845951270205
208-912,208,912,2.204711378600166
208-913,208,913,2.3716360158610996
208-914,208,914,2.814243276538207
208-916,208,916,1.132127975204753
208-917,208,917,0.3064930040297895
208-918,208,918,0.04889021772316937
208-920,208,920,0.4882809099086671
208-921,208,921,0.46665209529976437
208-922,208,922,0.2648527176404514
208-923,208,923,0.27080275729969117
208-924,208,924,0.6689537051569232
