Well,X,Y,NTG
201-901,201,901,-0.08314454075353603
201-902,201,902,-0.12189263371514991
201-903,201,903,-0.16719072541893557
201-904,201,904,-0.2192988418729375
201-905,201,905,-0.2698403111527239
201-906,201,906,-0.30025624384455024
201-908,201,908,-0.26917911414212226
201-909,201,909,-0.24383289019332177
201-910,201,910,-0.24263709263110853
201-911,201,911,-0.26548621437019715
201-912,201,912,-0.29493211237357037
201-913,201,913,-0.30958362802829203
201-915,201,915,-0.2507947804780197
201-916,201,916,-0.19328237205493493
201-917,201,917,-0.1495222915068635
201-918,201,918,-0.14754224132539379
201-919,201,919,-0.20687509685898567
201-920,201,920,-0.330382390913618
201-921,201,921,-0.4973982035235681
201-922,201,922,-0.6624988027254239
201-923,201,923,-0.767642363338216
201-925,201,925,-0.6766462475530554
201-926,201,926,-0.5322682705550646
201-927,201,927,-0.3913897524705119
201-928,201,928,-0.27795476172215733
201-929,201,929,-0.18859412228552963
201-930,201,930,-0.11636538050168485
202-901,202,901,-0.11995650656648355
202-902,202,902,-0.1764836376609229
202-903,202,903,-0.24026410453249314
202-904,202,904,-0.30963779906135286
202-905,202,905,-0.37426953243275074
202-906,202,906,-0.41496017750507885
202-907,202,907,-0.42232267531532075
202-908,202,908,-0.4143851365135717
202-909,202,909,-0.4240786772050371
202-910,202,910,-0.46580458172506034
202-911,202,911,-0.5216950560707382
202-912,202,912,-0.5608960497960797
202-913,202,913,-0.5628878888493793
202-914,202,914,-0.5223806682150756
202-915,202,915,-0.4456650882089872
202-916,202,916,-0.35148074154019526
202-917,202,917,-0.27128556065721987
202-918,202,918,-0.24099014395579832
202-919,202,919,-0.28732936983659346
202-920,202,920,-0.4158850024659899
202-921,202,921,-0.6038743890016782
202-923,202,923,-0.9391551681019767
202-924,202,924,-0.9700968618131247
202-926,202,926,-0.7423984918789559
202-927,202,927,-0.5819971455725051
202-928,202,928,-0.4353441308994168
202-929,202,929,-0.30441865593647743
202-930,202,930,-0.19037509869692074
203-901,203,901,-0.1408190175125118
203-903,203,903,-0.28699388635720774
203-904,203,904,-0.3695610536086574
203-905,203,905,-0.4473859700013584
203-907,203,907,-0.5455620497035608
203-908,203,908,-0.5959217188698918
203-909,203,909,-0.6911902274098423
203-910,203,910,-0.8271544508772692
203-911,203,911,-0.9543108353253935
203-912,203,912,-1.0195495690448728
203-913,203,913,-1.0038285016900148
203-914,203,914,-0.918166581235377
203-915,203,915,-0.7829180108585229
203-916,203,916,-0.6242776906934101
203-917,203,917,-0.4800164404789961
203-918,203,918,-0.3927130257521759
203-919,203,919,-0.39355488162152874
203-920,203,920,-0.4907205656368297
203-921,203,921,-0.6641425657415235
203-922,203,922,-0.8651497476514218
203-923,203,923,-1.0278897764161585
203-924,203,924,-1.0971505580027205
203-925,203,925,-1.0580634064646657
203-926,203,926,-0.9390954891263869
203-927,203,927,-0.7817581390701641
203-928,203,928,-0.6111106368150905
203-930,203,930,-0.27753284140455803
204-901,204,901,-0.1347309187555309
204-902,204,902,-0.20469905039284655
204-903,204,903,-0.2854145405812025
204-905,204,905,-0.46395636948823893
204-906,204,906,-0.549744470071414
204-908,204,908,-0.7912297185645156
204-909,204,909,-1.0181791418758996
204-910,204,910,-1.2961915085341158
204-911,204,911,-1.5363547089856133
204-912,204,912,-1.6564788225515628
204-913,204,913,-1.6345883019871894
204-914,204,914,-1.497402181173653
204-915,204,915,-1.2835323324947077
204-916,204,916,-1.0344269414723124
204-917,204,917,-0.8003120294371848
204-918,204,918,-0.6297542800171702
204-919,204,919,-0.5532020684679695
204-920,204,920,-0.5798049172208279
204-921,204,921,-0.6978629626704524
204-922,204,922,-0.8700622023561304
204-923,204,923,-1.037872444655511
204-924,204,924,-1.1446310569474327
204-926,204,926,-1.0928436447383931
204-927,204,927,-0.9586240246533702
204-928,204,928,-0.7776826541085217
204-929,204,929,-0.5703087686063156
204-930,204,930,-0.3671501445629631
205-901,205,901,-0.10574440290686998
205-902,205,902,-0.1657175544076506
205-903,205,903,-0.23918614931139942
205-904,205,904,-0.32595632070333047
205-905,205,905,-0.42520220447234075
205-906,205,906,-0.5414687765485253
205-907,205,907,-0.700716766771992
205-908,205,908,-0.9503665368922126
205-909,205,909,-1.3156328680706288
205-910,205,910,-1.7447119929594768
205-912,205,912,-2.3277055042044292
205-913,205,913,-2.3415222591838996
205-914,205,914,-2.1865325447682613
205-915,205,915,-1.9091021748523822
