Well,X,Y,NTG
201-901,201,901,0.2886554554714657
201-902,201,902,0.2760134243227122
201-903,201,903,0.264727634709842
201-904,201,904,0.25536797114321985
201-905,201,905,0.2481553304081418
201-906,201,906,0.24270377105170915
201-908,201,908,0.2558685870363979
201-909,201,909,0.2712493158301127
201-910,201,910,0.28739470085075824
201-911,201,911,0.30365517190545355
201-912,201,912,0.31967428985004587
201-913,201,913,0.3353637956577906
201-915,201,915,0.3552788827866461
201-916,201,916,0.36311876626221806
201-917,201,917,0.37122147683493967
201-918,201,918,0.37973588324767826
201-919,201,919,0.38874853364650264
201-920,201,920,0.39815892926091123
201-921,201,921,0.4070314522128563
201-922,201,922,0.41267921247871353
201-923,201,923,0.41585387485768954
201-925,201,925,0.4037876569559572
201-926,201,926,0.39600296490901865
201-927,201,927,0.3890118028830458
201-928,201,928,0.3839862678253546
201-929,201,929,0.38174083740148823
201-930,201,930,0.3822852032014874
202-901,202,901,0.28164257096495354
202-902,202,902,0.26794772429465197
202-903,202,903,0.25563306338823794
202-904,202,904,0.24589644564309837
202-905,202,905,0.2396277979580994
202-906,202,906,0.23631502367129098
202-907,202,907,0.23815074968096445
202-908,202,908,0.2492833223117945
202-909,202,909,0.26498218583019933
202-910,202,910,0.28188686632270643
202-911,202,911,0.298568887161708
202-912,202,912,0.31440948922114265
202-913,202,913,0.32890846048217703
202-914,202,914,0.340452365173697
202-915,202,915,0.3489906444502569
202-916,202,916,0.35668562318305874
202-917,202,917,0.3644093490942104
202-918,202,918,0.37250967939679525
202-919,202,919,0.381226149809887
202-920,202,920,0.39073006203427996
202-921,202,921,0.40109309279227545
202-923,202,923,0.405557933666834
202-924,202,924,0.40208208151731295
202-926,202,926,0.38490291178726765
202-927,202,927,0.37599159453033726
202-928,202,928,0.3694985182743681
202-929,202,929,0.36709381812173747
202-930,202,930,0.36823899378335123
203-901,203,901,0.2767649198950514
203-903,203,903,0.24837047834930903
203-904,203,904,0.2378479092526482
203-905,203,905,0.23325843857112843
203-907,203,907,0.23401596413715586
203-908,203,908,0.24544640257765488
203-909,203,909,0.2617151371536233
203-910,203,910,0.27907373898903687
203-911,203,911,0.29557260218160053
203-912,203,912,0.31044178457701743
203-913,203,913,0.323491950857643
203-914,203,914,0.334237071973887
203-915,203,915,0.3427510048693132
203-916,203,916,0.3501057886108503
203-917,203,917,0.3571613142148083
203-918,203,918,0.36430861956760086
203-919,203,919,0.3718590592355158
203-920,203,920,0.3797978207524021
203-921,203,921,0.3871251136943026
203-922,203,922,0.39130692008655055
203-923,203,923,0.39283277760767843
203-924,203,924,0.3913772697114801
203-925,203,925,0.38361613081877854
203-926,203,926,0.37251904610748143
203-927,203,927,0.36171121193474787
203-928,203,928,0.35323204617588
203-930,203,930,0.3537015939699367
204-901,204,901,0.27448396651480184
204-902,204,902,0.25919685788365115
204-903,204,903,0.2443719331351652
204-905,204,905,0.2282447489003216
204-906,204,906,0.2264783068914744
204-908,204,908,0.24370487017000558
204-909,204,909,0.2613164216280784
204-910,204,910,0.2792793491569831
204-911,204,911,0.2952614666117928
204-912,204,912,0.30859986496010117
204-913,204,913,0.3204446468861514
204-914,204,914,0.3303944150637195
204-915,204,915,0.337988365869652
204-916,204,916,0.34435772943874504
204-917,204,917,0.35029363071881087
204-918,204,918,0.35580077862145537
204-919,204,919,0.36153428343254757
204-920,204,920,0.36739622673874356
204-921,204,921,0.3722586423059958
204-922,204,922,0.3752749944730056
204-923,204,923,0.37809736044523123
