Well,X,Y,NTG
201-901,201,901,0.2981895007676088
201-902,201,902,0.2881509188392652
201-903,201,903,0.2797039089281197
201-904,201,904,0.2733075350878968
201-905,201,905,0.26943814310142694
201-906,201,906,0.26858102250313404
201-908,201,908,0.27688117584123595
201-909,201,909,0.2852397536643879
201-910,201,910,0.2952481326174793
201-911,201,911,0.30608341322396004
201-912,201,912,0.3170911682556076
201-913,201,913,0.3277456087429967
201-915,201,915,0.3467035899493007
201-916,201,916,0.3549452483022061
201-917,201,917,0.362538100442397
201-918,201,918,0.3695802525863205
201-919,201,919,0.37606485647839855
201-920,201,920,0.38183648242052937
201-921,201,921,0.3865765543105069
201-922,201,922,0.389896899092227
201-923,201,923,0.39151863725568736
201-925,201,925,0.389991081748053
201-926,201,926,0.38796337650915846
201-927,201,927,0.38618275692886
201-928,201,928,0.38535811136845083
201-929,201,929,0.38593324998968026
201-930,201,930,0.38805282055436613
202-901,202,901,0.2924202903319662
202-902,202,902,0.2818118365819641
202-903,202,903,0.27286319888809035
202-904,202,904,0.26612068299150926
202-905,202,905,0.2621288000962034
202-906,202,906,0.2613990335951005
202-907,202,907,0.26427967656518375
202-908,202,908,0.27061645960726943
202-909,202,909,0.2796297886394726
202-910,202,910,0.29029056189123953
202-911,202,911,0.30168957082320597
202-912,202,912,0.3131242159179116
202-913,202,913,0.3240526514876443
202-914,202,914,0.3340919994540984
202-915,202,915,0.34309613874316236
202-916,202,916,0.3511482832387268
202-917,202,917,0.35842217096313733
202-918,202,918,0.36506015680585224
202-919,202,919,0.3710998129761891
202-920,202,920,0.37640937948692244
202-921,202,921,0.3806626738457264
202-923,202,923,0.38449445428312967
202-924,202,924,0.3837595643970209
202-926,202,926,0.37879432368092264
202-927,202,927,0.37631996858245537
202-928,202,928,0.3750300588975595
202-929,202,929,0.3754512637076867
202-930,202,930,0.3777074762669278
203-901,203,901,0.28866183113809624
203-903,203,903,0.26833809370544703
203-904,203,904,0.26136254752573956
203-905,203,905,0.2573339341940281
203-907,203,907,0.2599536188773271
203-908,203,908,0.2667081743806368
203-909,203,909,0.276181120057723
203-910,203,910,0.2872679819098441
203-911,203,911,0.29899846629501686
203-912,203,912,0.3106424813703804
203-913,203,913,0.3216545497595446
203-914,203,914,0.3316448904938619
203-915,203,915,0.3404373695044337
203-916,203,916,0.3480862595894624
203-917,203,917,0.35477810365429946
203-918,203,918,0.360708214320148
203-919,203,919,0.36597714311301827
203-920,203,920,0.37050017094891957
203-921,203,921,0.3739887843654351
203-922,203,922,0.37607720561546043
203-923,203,923,0.376505425549888
203-924,203,924,0.3752087571497618
203-925,203,925,0.37247053156811855
203-926,203,926,0.3690688664425298
203-927,203,927,0.3660755835728452
203-928,203,928,0.36448372339346136
203-930,203,930,0.3674571388637416
204-901,204,901,0.2871456222985197
204-902,204,902,0.27597036375516054
204-903,204,903,0.266493076792415
204-905,204,905,0.25536384922153
204-906,204,906,0.25488483470604645
204-908,204,908,0.2652703676701478
204-909,204,909,0.27500839971609986
204-910,204,910,0.28631291437633005
204-911,204,911,0.2981811349486373
204-912,204,912,0.3098852393369826
204-913,204,913,0.3208732610149246
204-914,204,914,0.3307006133967617
204-915,204,915,0.3391093014036577
204-916,204,916,0.34610722379961784
204-917,204,917,0.35191069788810186
204-918,204,918,0.3568083739619877
204-919,204,919,0.3610072327949052
204-920,204,920,0.3644935038519641
204-921,204,921,0.3670269924072387
204-922,204,922,0.36829485546319946
204-923,204,923,0.3680613652356866
204-924,204,924,0.3662312655504312
204-926,204,926,0.3592134906438549
204-927,204,927,0.35589574169604155
204-928,204,928,0.35417280366235954
204-929,204,929,0.35474643860431115
204-930,204,930,0.35770415873962164
205-901,205,901,0.2878935701222862
205-902,205,902,0.2768120922776326
205-903,205,903,0.2673937075501833
205-904,205,904,0.26032054300113094
205-905,205,905,0.2562632602461795
205-906,205,906,0.25577626633329725
205-907,205,907,0.2591863734253322
205-908,205,908,0.2662623821719358
205-909,205,909,0.27607451621622636
205-910,205,910,0.2874161324118967
205-912,205,912,0.31098574769275483
205-913,205,913,0.32194234832065044
205-914,205,914,0.33157737341159893
205-915,205,915,0.3394773793245979
205-917,205,917,0.3501817199912364
205-918,205,918,0.3537385004876874
205-919,205,919,0.35664130186463633
205-920,205,920,0.3589651234183971
205-921,205,921,0.36047954991430814
205-922,205,922,0.3608742333220399
205-924,205,924,0.35754987126275717
205-925,205,925,0.3539776355712699
205-926,205,926,0.34992629949091253
205-928,205,928,0.3447838259559215
205-929,205,929,0.3455946139675781
205-930,205,930,0.3489988770743772
206-901,206,901,0.29072701902511655
206-902,206,902,0.2799351713338084
206-903,206,903,0.2707466985321659
206-904,206,904,0.2637928673786315
206-905,206,905,0.2597280710540972
206-906,206,906,0.2591536904180725
206-907,206,907,0.26245887619424735
206-908,206,908,0.2694419100019792
206-909,206,909,0.2791647561476772
206-910,206,910,0.29040978786756494
206-911,206,911,0.30220927592577235
206-913,206,913,0.32490569077758535
206-915,206,915,0.3417027800200094
206-916,206,916,0.34673348334548637
206-917,206,917,0.3498761390018409
206-918,206,918,0.35185979044926335
206-919,206,919,0.35332942792912714
206-920,206,920,0.354457718890385
206-921,206,921,0.35497455921723214
206-922,206,922,0.3545184992006283
206-923,206,923,0.35286322901659944
206-924,206,924,0.34998534155724537
206-925,206,925,0.3461666641486791
206-926,206,926,0.342090183244757
206-927,206,927,0.3387507804064367
206-928,206,928,0.3372118204388576
206-930,206,930,0.34198788105460404
207-901,207,901,0.29536474770330995
207-902,207,902,0.28496841548180124
207-903,207,903,0.276094432144033
207-904,207,904,0.2693233388331782
207-905,207,905,0.2652885700136572
207-906,207,906,0.26461107334454936
207-908,207,908,0.2744392808202515
