Well,X,Y,NTG
201-901,201,901,0.3440256571984085
201-902,201,902,0.3432921893299401
201-903,201,903,0.3425587214614718
201-904,201,904,0.3418252535930034
201-905,201,905,0.341091785724535
201-906,201,906,0.34035831785606674
201-908,201,908,0.33889138211912995
201-909,201,909,0.33815791425066166
201-910,201,910,0.33742444638219327
201-911,201,911,0.33669097851372487
201-912,201,912,0.3359575106452566
201-913,201,913,0.3352240427767882
201-915,201,915,0.3337571070398515
201-916,201,916,0.3330236391713831
201-917,201,917,0.3322901713029147
201-918,201,918,0.33155670343444643
201-919,201,919,0.33082323556597804
201-920,201,920,0.33008976769750964
201-921,201,921,0.32935629982904135
201-922,201,922,0.32862283196057296
201-923,201,923,0.32788936409210456
201-925,201,925,0.3264224283551679
201-926,201,926,0.3256889604866995
201-927,201,927,0.3249554926182312
201-928,201,928,0.3242220247497628
201-929,201,929,0.3234885568812944
201-930,201,930,0.3227550890128261
202-901,202,901,0.34371741348273943
202-902,202,902,0.34298394561427104
202-903,202,903,0.34225047774580275
202-904,202,904,0.34151700987733435
202-905,202,905,0.34078354200886596
202-906,202,906,0.3400500741403977
202-907,202,907,0.3393166062719293
202-908,202,908,0.3385831384034609
202-909,202,909,0.3378496705349926
202-910,202,910,0.3371162026665242
202-911,202,911,0.3363827347980558
202-912,202,912,0.3356492669295875
202-913,202,913,0.3349157990611191
202-914,202,914,0.33418233119265073
202-915,202,915,0.33344886332418244
202-916,202,916,0.33271539545571405
202-917,202,917,0.33198192758724565
202-918,202,918,0.33124845971877737
202-919,202,919,0.33051499185030897
202-920,202,920,0.3297815239818406
202-921,202,921,0.3290480561133723
202-923,202,923,0.3275811203764355
202-924,202,924,0.3268476525079672
202-926,202,926,0.3253807167710304
202-927,202,927,0.32464724890256214
202-928,202,928,0.32391378103409374
202-929,202,929,0.32318031316562534
202-930,202,930,0.32244684529715706
203-901,203,901,0.3434091697670705
203-903,203,903,0.3419422340301338
203-904,203,904,0.3412087661616654
203-905,203,905,0.340475298293197
203-907,203,907,0.3390083625562603
203-908,203,908,0.3382748946877919
203-909,203,909,0.33754142681932364
203-910,203,910,0.33680795895085525
203-911,203,911,0.33607449108238685
203-912,203,912,0.33534102321391857
203-913,203,913,0.33460755534545017
203-914,203,914,0.3338740874769818
203-915,203,915,0.3331406196085135
203-916,203,916,0.3324071517400451
203-917,203,917,0.3316736838715767
203-918,203,918,0.3309402160031084
203-919,203,919,0.33020674813464
203-920,203,920,0.3294732802661716
203-921,203,921,0.32873981239770333
203-922,203,922,0.32800634452923494
203-923,203,923,0.32727287666076654
203-924,203,924,0.32653940879229826
203-925,203,925,0.32580594092382986
203-926,203,926,0.32507247305536147
203-927,203,927,0.3243390051868932
203-928,203,928,0.3236055373184248
203-930,203,930,0.3221386015814881
204-901,204,901,0.3431009260514015
204-902,204,902,0.3423674581829331
204-903,204,903,0.34163399031446484
204-905,204,905,0.34016705457752805
204-906,204,906,0.33943358670905976
204-908,204,908,0.337966650972123
204-909,204,909,0.3372331831036547
204-910,204,910,0.3364997152351863
204-911,204,911,0.3357662473667179
204-912,204,912,0.3350327794982496
204-913,204,913,0.3342993116297812
204-914,204,914,0.3335658437613128
