Well,X,Y,NTG
201-901,201,901,0.34401311038688664
201-902,201,902,0.3432802740704962
201-903,201,903,0.3425474377541058
201-904,201,904,0.34181460143771525
201-905,201,905,0.3410817651213247
201-906,201,906,0.3403489288049343
201-908,201,908,0.3388832561721533
201-909,201,909,0.3381504198557628
201-910,201,910,0.33741758353937235
201-911,201,911,0.3366847472229819
201-912,201,912,0.3359519109065914
201-913,201,913,0.33521907459020084
201-915,201,915,0.33375340195742
201-916,201,916,0.33302056564102944
201-917,201,917,0.3322877293246389
201-918,201,918,0.3315548930082485
201-919,201,919,0.33082205669185805
201-920,201,920,0.3300892203754675
201-921,201,921,0.32935638405907697
201-922,201,922,0.32862354774268654
201-923,201,923,0.3278907114262961
201-925,201,925,0.32642503879351503
201-926,201,926,0.3256922024771246
201-927,201,927,0.3249593661607342
201-928,201,928,0.32422652984434364
201-929,201,929,0.3234936935279531
201-930,201,930,0.32276085721156267
202-901,202,901,0.343704987207345
202-902,202,902,0.34297215089095456
202-903,202,903,0.34223931457456414
202-904,202,904,0.3415064782581736
202-905,202,905,0.34077364194178306
202-906,202,906,0.34004080562539263
202-907,202,907,0.3393079693090022
202-908,202,908,0.33857513299261166
202-909,202,909,0.3378422966762211
202-910,202,910,0.3371094603598307
202-911,202,911,0.33637662404344026
202-912,202,912,0.3356437877270497
202-913,202,913,0.3349109514106592
202-914,202,914,0.33417811509426876
202-915,202,915,0.33344527877787833
202-916,202,916,0.3327124424614878
202-917,202,917,0.33197960614509725
202-918,202,918,0.3312467698287068
202-919,202,919,0.3305139335123164
202-920,202,920,0.32978109719592585
202-921,202,921,0.3290482608795353
202-923,202,923,0.32758258824675446
202-924,202,924,0.3268497519303639
202-926,202,926,0.32538407929758295
202-927,202,927,0.3246512429811925
202-928,202,928,0.323918406664802
202-929,202,929,0.32318557034841144
202-930,202,930,0.322452734032021
203-901,203,901,0.34339686402780334
203-903,203,903,0.3419311913950225
203-904,203,904,0.34119835507863194
203-905,203,905,0.3404655187622414
203-907,203,907,0.33899984612946055
203-908,203,908,0.33826700981307
203-909,203,909,0.33753417349667947
203-910,203,910,0.33680133718028904
203-911,203,911,0.3360685008638986
203-912,203,912,0.33533566454750807
203-913,203,913,0.33460282823111753
203-914,203,914,0.3338699919147271
203-915,203,915,0.3331371555983367
203-916,203,916,0.33240431928194614
203-917,203,917,0.3316714829655556
203-918,203,918,0.33093864664916517
203-919,203,919,0.33020581033277474
203-920,203,920,0.3294729740163842
203-921,203,921,0.32874013769999366
203-922,203,922,0.32800730138360323
203-923,203,923,0.3272744650672128
203-924,203,924,0.32654162875082227
203-925,203,925,0.3258087924344317
203-926,203,926,0.3250759561180413
203-927,203,927,0.32434311980165087
203-928,203,928,0.32361028348526033
203-930,203,930,0.32214461085247936
204-901,204,901,0.3430887408482617
204-902,204,902,0.34235590453187126
204-903,204,903,0.34162306821548083
204-905,204,905,0.34015739558269975
204-906,204,906,0.3394245592663093
204-908,204,908,0.33795888663352835
204-909,204,909,0.3372260503171378
204-910,204,910,0.3364932140007474
204-911,204,911,0.33576037768435696
204-912,204,912,0.3350275413679664
204-913,204,913,0.3342947050515759
204-914,204,914,0.33356186873518545
204-915,204,915,0.332829032418795
204-916,204,916,0.3320961961024045
204-917,204,917,0.33136335978601394
204-918,204,918,0.3306305234696235
204-919,204,919,0.3298976871532331
204-920,204,920,0.32916485083684255
204-921,204,921,0.328432014520452
204-922,204,922,0.3276991782040616
204-923,204,923,0.32696634188767115
204-924,204,924,0.3262335055712806
204-926,204,926,0.32476783293849965
204-927,204,927,0.3240349966221092
204-928,204,928,0.3233021603057187
204-929,204,929,0.32256932398932814
204-930,204,930,0.3218364876729377
205-901,205,901,0.34278061766872003
205-902,205,902,0.3420477813523296
205-903,205,903,0.3413149450359392
205-904,205,904,0.34058210871954864
205-905,205,905,0.3398492724031581
